"Variable","is_control","contrast_level","ref_level","n_contrast","n_ref","beta","HR","lower_95","upper_95","p.value","global.pval"
"CDK1",FALSE,"CDK1","CDK1",143,143,-0.124,0.883,0.784,0.995,0.0417,0.0569
"ATOX1",FALSE,"ATOX1","ATOX1",143,143,-0.32,0.726,0.502,1.05,0.0889,0.0923
"MAPT",FALSE,"MAPT","MAPT",143,143,0.11,1.12,0.987,1.26,0.0797,0.0808
"COX17",FALSE,"COX17","COX17",143,143,-0.593,0.553,0.404,0.755,0.000202,0.000216
