"cause","effect"
"ACTA1","LAMA2"
"ACTA1","LAMB2"
"ACTA1","LAMB2"
"ACTA1","MYH11"
"ACTA1","MYH11"
"ACTA1","MYO10"
"ACTA1","MYO10"
"ACTA1","MYO1B"
"ACTA1","MYO1B"
"ACTA1","PIK3R1"
"ACTA1","PIK3R1"
"ACTA1","TAGLN"
"ACTA1","TAGLN"
"ACTA1","TPM2"
"ACTA1","TPM2"
"ACTA1","TPM3"
"ACTA1","TPM3"
"ACTA1","UTRN"
"ACTA1","UTRN"
"ACTA2","ACTN2"
"ACTA2","ACTN2"
"ACTA2","CFL1"
"ACTA2","CFL1"
"ACTA2","MAMLD1"
"ACTA2","MAMLD1"
"ACTA2","MYL12B"
"ACTA2","MYL12B"
"ACTA2","MYL6B"
"ACTA2","MYL6B"
"ACTA2","TAGLN"
"ACTA2","TAGLN"
"ACTC1","ACTA1"
"ACTC1","ACTA1"
"ACTC1","ACTA2"
"ACTC1","ACTA2"
"ACTC1","ACTG2"
"ACTC1","ACTG2"
"ACTC1","ACTN2"
"ACTC1","ACTN2"
"ACTC1","CFL1"
"ACTC1","CFL1"
"ACTC1","DMD"
"ACTC1","DMD"
"ACTC1","GSN"
"ACTC1","GSN"
"ACTC1","MYH11"
"ACTC1","MYH11"
"ACTC1","MYL3"
"ACTC1","MYL3"
"ACTC1","MYLPF"
"ACTC1","MYLPF"
"ACTC1","TPM1"
"ACTC1","TPM1"
"ACTC1","TPM2"
"ACTC1","TPM2"
"ACTC1","TPM3"
"ACTC1","TPM3"
"ACTG1","MYL12B"
"ACTG1","MYL12B"
"ACTG1","RUVBL2"
"ACTG1","RUVBL2"
"ACTG2","ACTA2"
"ACTG2","ACTA2"
"ACTG2","MYL12B"
"ACTG2","MYL12B"
"ACTG2","MYL6B"
"ACTG2","MYL6B"
"ACTG2","TAGLN"
"ACTG2","TAGLN"
"ACTL6A","ACTG1"
"ACTL6A","ACTG1"
"ACTL6A","ANP32E"
"ACTL6A","ANP32E"
"ACTL6A","HIST1H4I"
"ACTL6A","HIST1H4I"
"ACTL6A","RUVBL2"
"ACTL6A","RUVBL2"
"ACTL6A","TBL1XR1"
"ACTL6A","TBL1XR1"
"ACTN1","ACTN2"
"ACTN1","ACTN2"
"ACTN1","ACTN3"
"ACTN1","ACTN3"
"ACTN1","CAMK2A"
"ACTN1","CAMK2A"
"ACTN1","ILK"
"ACTN1","ILK"
"ACTN1","ITGA7"
"ACTN1","ITGA7"
"ACTN1","ITGB3"
"ACTN1","ITGB3"
"ACTN1","LDB3"
"ACTN1","LDB3"
"ACTN1","LPP"
"ACTN1","LPP"
"ACTN1","PALLD"
"ACTN1","PALLD"
"ACTN2","GRIA3"
"ACTN2","GRIA3"
"ACTN2","MYH3"
"ACTN2","MYH3"
"ACTN2","TNNT1"
"ACTN2","TNNT1"
"ACTN3","ACTN2"
"ACTN3","ACTN2"
"ACTN3","CAPN1"
"ACTN3","CAPN1"
"ACTN3","MYH3"
"ACTN3","MYH3"
"ACTN3","PIK3R1"
"ACTN3","PIK3R1"
