"cause","effect"
"ACAD11","TAGLN3"
"ACAD11","TAGLN3"
"ACADL","ACSBG2"
"ACADL","ACSBG2"
"ACADL","ACSL5"
"ACADL","ACSL5"
"ACADL","HADHA"
"ACADL","HADHA"
"ACADL","SLC27A2"
"ACADL","SLC27A2"
"ACAN","CD44"
"ACAN","CD44"
"ACAN","PRG4"
"ACAN","PRG4"
"ACBD3","BLZF1"
"ACBD3","BLZF1"
"ACBD3","EPRS"
"ACBD3","EPRS"
"ACBD5","BCAT1"
"ACBD5","BCAT1"
"ACBD5","PEX12"
"ACBD5","PEX12"
"ACE","AGT"
"ACE","AGT"
"ACE","DPP4"
"ACE","DPP4"
"ACE","EDN1"
"ACE","EDN1"
"ACE","TAC1"
"ACE","TAC1"
"ACE2","APLNR"
"ACE2","APLNR"
"ACER2","ASAH1"
"ACER2","ASAH1"
"ACER2","PPAP2B"
"ACER2","PPAP2B"
"ACER2","SGMS2"
"ACER2","SGMS2"
"ACER2","UGCG"
"ACER2","UGCG"
"ACKR1","CXCL1"
"ACKR1","CXCL1"
"ACKR1","FYB"
"ACKR1","FYB"
"ACKR1","NGF"
"ACKR1","NGF"
"ACKR3","ARRB2"
"ACKR3","ARRB2"
"ACKR3","CXCL11"
"ACKR3","CXCL11"
"ACKR3","CXCR4"
"ACKR3","CXCR4"
"ACKR3","EGFR"
"ACKR3","EGFR"
"ACKR4","ACKR1"
"ACKR4","ACKR1"
"ACKR4","CCL8"
"ACKR4","CCL8"
"ACLY","GLUD1"
"ACLY","GLUD1"
"ACLY","GLUD2"
"ACLY","GLUD2"
"ACLY","IDH1"
"ACLY","IDH1"
"ACLY","IL4I1"
"ACLY","IL4I1"
"ACLY","ME1"
"ACLY","ME1"
"ACLY","PCK1"
"ACLY","PCK1"
"ACLY","PKM"
"ACLY","PKM"
"ACLY","SCD"
"ACLY","SCD"
"ACOT12","ALDH3A2"
"ACOT12","ALDH3A2"
"ACOT12","ALDH7A1"
"ACOT12","ALDH7A1"
"ACSBG1","ABCD2"
"ACSBG1","ABCD2"
"ACSL5","ACSBG2"
"ACSL5","ACSBG2"
"ACSL5","CEL"
"ACSL5","CEL"
"ACTA1","ACTA2"
"ACTA1","ACTA2"
"ACTA1","ACTG2"
"ACTA1","ACTG2"
"ACTA1","ACTN1"
"ACTA1","ACTN1"
"ACTA1","ACTN2"
"ACTA1","ACTN2"
"ACTA1","ACTN3"
"ACTA1","ACTN3"
"ACTA1","CCT4"
"ACTA1","CCT4"
"ACTA1","DNASE1"
"ACTA1","DNASE1"
