"Variable","is_control","contrast_level","ref_level","n_contrast","n_ref","beta","HR","lower_95","upper_95","p.value","global.pval"
"CDK1",FALSE,"CDK1","CDK1",76,76,0.825,2.28,1.66,3.13,3.4e-07,3.87e-09
"COX17",FALSE,"COX17","COX17",76,76,-0.111,0.895,0.498,1.61,0.711,0.711
"DBH",FALSE,"DBH","DBH",76,76,-0.235,0.791,0.569,1.1,0.162,0.15
