"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"HOXA11-AS1_5",-2.34549075546437,-3.52490022173785,-17.7148622040525,1.23687855021572e-56,6.28991665536271e-56,117.801669277194,"DOWN"
"LMBR1",1.45789981503776,5.09807875823072,17.7260959513581,1.0856910505479e-56,5.52991967551434e-56,117.801557421842,"UP"
"NUDT4",1.80103366263762,6.97053665291048,17.7183934810144,1.18721596407523e-56,6.04219570438765e-56,117.767491825124,"UP"
"CTC-524C5.2",-1.56646593687172,2.1166127628982,-17.719589001534,1.17085783645298e-56,5.96132699607947e-56,117.760793703208,"DOWN"
"RP11-175K6.2",-1.90593558398212,-0.99895343094857,-17.7114080126821,1.28746329055565e-56,6.54454077715648e-56,117.754764516667,"DOWN"
"NIF3L1",1.36686368040036,4.03702813071653,17.718107295653,1.19116552869927e-56,6.06108457346136e-56,117.702188982031,"UP"
"ACBD5",1.52525257716135,4.95832708536256,17.717521247047,1.19929441261973e-56,6.10122754147461e-56,117.700972212617,"UP"
"VIP",-3.65817229063547,2.75249214220015,-17.7150454430859,1.23425124903722e-56,6.2778103098512e-56,117.700335167875,"DOWN"
"NUDT5",1.50494429206503,5.25332450719296,17.7141791598304,1.24672141420839e-56,6.33870424179623e-56,117.666808534287,"UP"
"AC106801.1",-1.81644825294977,-4.76990902058251,-17.7047687450479,1.39056518350962e-56,7.06158520564381e-56,117.658582902652,"DOWN"
"CTC-558O2.2",-2.35564770111349,-4.19612171704582,-17.7026015151864,1.42597400314225e-56,7.23995418471503e-56,117.646406325667,"DOWN"
"POP7",1.36319353493563,4.2706143063156,17.7111057371476,1.29198704494637e-56,6.566224893765e-56,117.620440460907,"UP"
"HES6",1.8273849121542,4.65963161952346,17.7094701901288,1.31674079142477e-56,6.69069407533307e-56,117.608712921613,"UP"
"RP11-506H20.2",-1.52805283008341,-5.32272706916439,-17.7007545459404,1.45685998749091e-56,7.39529325919797e-56,117.597870313046,"DOWN"
"PAEP",2.38597547562652,-4.66992460995746,17.6974865510578,1.5131547332635e-56,7.67952428136043e-56,117.579814848112,"UP"
"VPS25",1.56356894188026,5.21433185511281,17.7061059110484,1.36915755645011e-56,6.95564832869625e-56,117.573221495453,"UP"
"TMA16",1.29080438559866,3.65764269121349,17.7053747716202,1.38082177708341e-56,7.01350546204889e-56,117.557205816884,"UP"
"RP11-797H7.5",-2.31001218215787,-1.83493103283806,-17.6925578107021,1.60219239874642e-56,8.12816442752519e-56,117.548077348635,"DOWN"
"RORB",-2.54770541664034,-1.775691123433,-17.6919224357584,1.61404477181808e-56,8.18666152497286e-56,117.538231514692,"DOWN"
"AC004987.9",1.06299454901448,-0.643243419162347,17.6937377898144,1.58041099365905e-56,8.01926248217906e-56,117.537717853546,"UP"
"PKD1",-2.02802206570456,7.05983827691278,-17.6907479324041,1.63618510053084e-56,8.29730686963758e-56,117.441967307761,"DOWN"
"C4orf50",-2.15728826517676,-3.63651970338826,-17.683411669504,1.78150902538621e-56,9.02527223609273e-56,117.43662037117,"DOWN"
"LINC01166",-1.85057423976772,-4.91771639362296,-17.6854961124615,1.738955030073e-56,8.81495387879265e-56,117.431668548201,"DOWN"
"KCNJ9",-2.1733800470871,-2.89255074254685,-17.6817614709438,1.81593407908893e-56,9.19601157599909e-56,117.426089152062,"DOWN"
"E2F2",3.50689280773462,1.94972229494656,17.6895808967611,1.6584850160219e-56,8.40871725653174e-56,117.418614895869,"UP"
"RP5-981L23.2",-1.92441989930873,-4.85443520612278,-17.6836456172096,1.77668163459379e-56,9.00260819503905e-56,117.411775091669,"DOWN"
"RNF180",-2.30304868913125,1.12450431107911,-17.6842060808309,1.76516981699359e-56,8.94605778218257e-56,117.382486106606,"DOWN"
"C1orf210",4.24828584229967,2.19525422997011,17.6817833518272,1.81547330129605e-56,9.1955077541467e-56,117.330337017659,"UP"
"RPS3AP47",1.50526775620584,-2.41359319685696,17.6708581362445,2.06069780391051e-56,1.04272128240816e-55,117.296928225518,"UP"
"PFDN4",1.51885249670115,3.82359740206318,17.6789232285852,1.87670392408486e-56,9.50186359176603e-56,117.251918128369,"UP"
"KIT",-2.3180691002684,3.64654016858066,-17.6770762956534,1.91733516600254e-56,9.70565128184104e-56,117.233148757577,"DOWN"
"RDH10-AS1",-1.84508828398308,-1.88911138382987,-17.6642943569977,2.22365598613614e-56,1.12473156119112e-55,117.225346154915,"DOWN"
"RP11-181G12.2",-1.42092871908629,0.786976665590154,-17.6689996259933,2.10558900564408e-56,1.06522463469793e-55,117.214795631311,"DOWN"
"XPO5",1.52875964255705,5.39581058785658,17.6717324626063,2.03991078425686e-56,1.03240821795398e-55,117.178747932385,"UP"
"RP11-486L19.2",-1.85431920342132,-5.27716589832775,-17.6624620513698,2.27140144564727e-56,1.14865308155403e-55,117.155806798074,"DOWN"
"ITGA2B",-1.75082937509535,-1.25185879415954,-17.6521917291538,2.55860468694992e-56,1.29209536690971e-55,117.0757619489,"DOWN"
"LINC01091",1.70394385619212,-1.70368283364623,17.651966529204,2.56529273851723e-56,1.29521584568023e-55,117.072490116,"UP"
"RP11-1348G14.8",-1.46682240506213,-0.843592503223592,-17.6522575533479,2.55665311178224e-56,1.29136604487163e-55,117.066398654363,"DOWN"
"SYP",-1.88972131444347,2.19814059633837,-17.6577913855434,2.39778931058982e-56,1.21208606818534e-55,117.043866340435,"DOWN"
"GLO1",1.63299305389786,6.24918150058467,17.6574876347234,2.40624786075193e-56,1.21612034455636e-55,117.037727092046,"UP"
"SAMD4A",-2.38194092191082,4.91453533952558,-17.6584307785061,2.38008103412779e-56,1.20337350974614e-55,117.013476098774,"DOWN"
"RP11-1055B8.9",-2.03439160650742,-2.51720891531355,-17.644579482336,2.79462574697213e-56,1.40904941584657e-55,116.998137879374,"DOWN"
"RP11-1275H24.1",1.33578409266709,0.291278634394408,17.6487737095277,2.66201383153005e-56,1.34325091276969e-55,116.991835264067,"UP"
"HELZ2",1.71518051138304,5.52647661556992,17.6550314891647,2.47574780155977e-56,1.25099728102639e-55,116.990253774794,"UP"
"HOXB-AS4",3.28317168536832,-1.86324813034886,17.6460645340337,2.74693395839614e-56,1.38555218210659e-55,116.987125374283,"UP"
"AKR1C1",-2.17535824865133,3.03891262611892,-17.6531379376848,2.53069365307677e-56,1.278507639105e-55,116.967116463554,"DOWN"
"TRAP1",1.69593459887064,6.5821947335306,17.6490676490678,2.65295929432285e-56,1.33894745110262e-55,116.951533094675,"UP"
"CPD",1.69023054736088,6.22223283021433,17.6491372192806,2.6508207524223e-56,1.33813347462619e-55,116.940731152641,"UP"
"RP11-1319K7.1",-1.90901835038944,1.26763399040797,-17.6453227619649,2.77065318472463e-56,1.39723924821897e-55,116.927901709275,"DOWN"
"HIST1H4J",2.01219811878148,-0.386524847126089,17.6390149599719,2.98079831779819e-56,1.50172760856294e-55,116.897321340008,"UP"
"RCAN2",-1.92324545786159,3.78149892722023,-17.6484267177824,2.67274231495403e-56,1.34839717344321e-55,116.895702466285,"DOWN"
"LAMB2",-1.44900224682197,7.19751179168442,-17.6429507187378,2.8478839601536e-56,1.43561779666923e-55,116.894042096375,"DOWN"
