"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"PLIN3",-2.68776537261146,4.96025010716346,-19.5019753644394,8.4415880710103e-56,1.04410979460367e-54,116.062554614741,"DOWN"
"ZNF704",2.00056571543195,5.76731431455285,19.5004440514175,8.55572666542612e-56,1.05767256214573e-54,116.050495265018,"UP"
"GYLTL1B",-3.64247192596787,-0.571082639465571,-19.4682071229581,1.13516306723894e-55,1.39890758970558e-54,115.945402355299,"DOWN"
"B3GNT2",1.90874135344195,5.09519863123685,19.4820627939164,1.00525132482149e-55,1.24140643971542e-54,115.890226616681,"UP"
"AVPR1A",-4.89934126025861,3.33742896710284,-19.474967433492,1.06980381993106e-55,1.32043237575688e-54,115.87400909598,"DOWN"
"PRICKLE3",-1.93648195839966,1.92960355048784,-19.4694579611951,1.12277564183693e-55,1.38436534574008e-54,115.851824994727,"DOWN"
"KRT2",-4.31885214544663,-3.80576394343978,-19.4485967051472,1.34825350397649e-55,1.65717849912942e-54,115.849815681155,"DOWN"
"COL22A1",6.35998575896871,3.12975059986103,19.458470892253,1.23637754947287e-55,1.52204787366475e-54,115.827908776261,"UP"
"DNM3OS",-2.45278072914228,0.883403695131521,-19.459710268138,1.22300788396013e-55,1.50637529811841e-54,115.812934147108,"DOWN"
"HYAL1",-2.39853041319975,3.26214175643252,-19.4703818367527,1.11371315563702e-55,1.37390963399636e-54,115.802527396718,"DOWN"
"ARNTL2",2.62868017934181,2.00710847450551,19.448268474913,1.35214150071176e-55,1.66022704723e-54,115.706681818504,"UP"
"RP11-736N17.10",-3.01129278491004,-4.50965375221512,-19.4264107856814,1.63797314382398e-55,2.00180686753245e-54,115.668543210849,"DOWN"
"RAB27B",5.66299305930008,1.14040688913459,19.4335288007408,1.53880587410056e-55,1.88745783423869e-54,115.65298042068,"UP"
"PTPRE",-2.67421719777089,4.1136485257029,-19.4540937974702,1.28477625518362e-55,1.58080425305248e-54,115.644776791546,"DOWN"
"PSD3",-3.71784455675141,4.39399828547745,-19.4502680227529,1.32862900948537e-55,1.6339088866909e-54,115.625770219847,"DOWN"
"IQGAP2",-2.82756453101185,3.443175886182,-19.4483348541873,1.3513543120861e-55,1.66012469579036e-54,115.608245729455,"DOWN"
"RP3-467K16.2",-4.03352904786111,-2.21727294422013,-19.4203520405754,1.72740520649998e-55,2.10891856137241e-54,115.571228474145,"DOWN"
"RGS17",2.40719971106495,1.31135919089065,19.426939447472,1.63039297104878e-55,1.99357589466705e-54,115.548004096199,"UP"
"GJA1",-3.79600593767885,6.67990271101349,-19.4324153703987,1.55391211771647e-55,1.90499610813818e-54,115.497761521915,"DOWN"
"MAPK8IP1",2.20840244795129,6.5821970377254,19.4359783357317,1.5060875218284e-55,1.84828753264134e-54,115.496845391182,"UP"
"NME7",1.80002260598279,4.0983101088983,19.4312228209629,1.57025641079545e-55,1.92403314085362e-54,115.46324149611,"UP"
"UPP2",3.91520842999602,-2.39255908483752,19.4041819779752,1.99074441994302e-55,2.42539714014442e-54,115.459697447249,"UP"
"GRAMD3",-2.45634963738357,2.91466895299176,-19.4292539035174,1.59761840001326e-55,1.95552803326999e-54,115.454351809725,"DOWN"
"KCNG4",6.52554149990124,0.0843911866320802,19.4071505583174,1.93955620044615e-55,2.36547632367753e-54,115.449604626006,"UP"
"GDPD5",2.6554719854747,5.21837445132854,19.4277132726276,1.61936079016814e-55,1.98111322394688e-54,115.426168904184,"UP"
"ATG16L2",-2.02768274640696,4.47769075984304,-19.4298754513195,1.5889296270401e-55,1.94590254999973e-54,115.421485471221,"DOWN"
"CLEC1B",-2.92875722382408,-4.38386575995609,-19.3977610389049,2.1061342697339e-55,2.55937089233454e-54,115.417079787556,"DOWN"
"MAT1A",-4.29339978633246,-2.63803157560487,-19.4017747575048,2.03324380325847e-55,2.4746192769586e-54,115.416899278174,"DOWN"
"Metazoa_SRP",2.13498568558507,-1.88536308459722,19.4002471420568,2.06068344286764e-55,2.50672204058376e-54,115.413992486992,"UP"
"TCEA2",1.79827567529418,5.49621054314036,19.4258214373655,1.64646504117659e-55,2.01114297909023e-54,115.393437228078,"UP"
"VTN",-3.9284726347394,4.47973890666849,-19.4154482686655,1.80335438574978e-55,2.2005028399731e-54,115.323727705727,"DOWN"
"ARHGEF37",2.1370884955686,3.64058975259044,19.4067592163982,1.94622813325515e-55,2.3723867172656e-54,115.270303834826,"UP"
"PTOV1-AS2",-2.00059845606455,2.00370712500848,-19.3997969344134,2.06884072220184e-55,2.51534773786468e-54,115.237533522501,"DOWN"
"PVRL1",2.56807603684451,4.75327812369271,19.403566818755,2.00151973291434e-55,2.43726618173725e-54,115.220986674494,"UP"
"AC005336.4",-3.23678125164291,-4.92193896649411,-19.3747608279614,2.57719882955767e-55,3.12536703304765e-54,115.220084077386,"DOWN"
"PRRT1",2.03217835847896,3.85643163773157,19.3964394275714,2.13070286958201e-55,2.58789333598511e-54,115.170474353431,"UP"
"PCDHAC2",4.26905829091354,2.0771233537409,19.3819619893783,2.4193607529594e-55,2.93546615638135e-54,115.149024691969,"UP"
"RP11-441F2.5",4.04723592122328,-1.34892867500496,19.3705155781274,2.67503347420441e-55,3.23901512094761e-54,115.147512707562,"UP"
"RP11-384P7.7",3.46059087383052,-0.00801888670668665,19.3713541943208,2.65541682674846e-55,3.21691405714e-54,115.123631303512,"UP"
"LPCAT4",1.93735004622737,4.73953825190313,19.3865209971974,2.32447279494201e-55,2.82178794721036e-54,115.05861168629,"UP"
"B4GALNT2",-4.07781110698448,-4.20465856620847,-19.3514890039642,3.16122766171491e-55,3.81791484162158e-54,115.007702001741,"DOWN"
"TNFRSF21",2.46381196198216,3.81813193056913,19.3717226957207,2.64684254078366e-55,3.20817446091799e-54,114.964042233985,"UP"
"TMEM102",-2.81511455435256,1.2702379509889,-19.359981261717,2.93415886841632e-55,3.54730934030424e-54,114.919627163074,"DOWN"
"FBLN1",-3.80308974951618,5.06552914898091,-19.3671631222282,2.75491228709891e-55,3.33402340255526e-54,114.898150226094,"DOWN"
"RP11-177H13.2",3.85700009313979,0.584696193371874,19.345721430501,3.32538817547035e-55,4.01412133545645e-54,114.884494693512,"UP"
"RTN1",3.75158974365644,4.16758362375433,19.3595907312447,2.94423370439853e-55,3.55766600336312e-54,114.876717325497,"UP"
"KATNAL1",1.75847011278088,4.29255504648017,19.3604720341204,2.92154690769036e-55,3.53387317495859e-54,114.836915425909,"UP"
"SLC6A2",7.05589473296548,3.33287850560134,19.3415944275812,3.44806389282831e-55,4.15794903068207e-54,114.813869654725,"UP"
"DTNB",1.62342654466649,3.05202814915169,19.3429462261574,3.4073907689845e-55,4.1110038909482e-54,114.724106594096,"UP"
"SF3A3P2",-2.75898496331803,-4.55970847040954,-19.3161827430887,4.30979957739528e-55,5.17856559511068e-54,114.705658595703,"DOWN"
"NUDT11",2.79425503304168,2.30647219078644,19.3326960589666,3.72819652987149e-55,4.49345792284511e-54,114.683503629446,"UP"
"APOE",-4.43432972544642,8.30641077242057,-19.3302012653319,3.81074638902019e-55,4.59060649018484e-54,114.65731563686,"DOWN"
"HIST2H2BA",-3.04103426904419,-2.86729551725319,-19.3110131562157,4.50990726585375e-55,5.41074174362627e-54,114.635158972082,"DOWN"
"SSX2IP",1.97301283480025,3.39932131896193,19.3284362534551,3.87025090458205e-55,4.65753102481514e-54,114.58902789441,"UP"
"BMPR1B",3.79390255841416,3.56227674216476,19.3228247047013,4.06568238638993e-55,4.89022184843341e-54,114.571270824826,"UP"
"EGFR",-3.5211861304249,3.89090845925228,-19.329633967038,3.82977142136437e-55,4.6111699089189e-54,114.569409500647,"DOWN"
"FAM27E3",2.33981312120155,1.23866847330635,19.314744831697,4.36454999905415e-55,5.23901480039136e-54,114.567623669796,"UP"
"RP11-350N15.6",2.89588498546786,-1.86189113988211,19.3034025674254,4.82154379936897e-55,5.78168549037701e-54,114.56733872743,"UP"
"FBXL21",-4.10655067976882,-3.42744081576143,-19.30220876713,4.8723454635477e-55,5.83963477889734e-54,114.563541680649,"DOWN"
"SLC51A",-2.92630809291639,1.54338839527272,-19.3183680811311,4.22790286062557e-55,5.0827494787755e-54,114.541645048669,"DOWN"
"SSC5D",3.58923890463473,4.37470678677025,19.3159648466233,4.31805188771396e-55,5.18583960669598e-54,114.484883640661,"UP"
"LA16c-390E6.4",-2.31312252371647,-1.35660301608432,-19.2932120885463,5.27282392989296e-55,6.30680010316355e-54,114.44532625252,"DOWN"
"RASAL1",-5.52530741624205,1.64664149996286,-19.297744819892,5.06709837527698e-55,6.06996695671194e-54,114.365059900246,"DOWN"
"KRT8P47",-3.92814235611953,-4.35618355945381,-19.2732971794197,6.28038490964942e-55,7.49294076195756e-54,114.32598393798,"DOWN"
"GLB1L2",2.34054179262527,3.36128967910887,19.2951554852497,5.18361549941694e-55,6.20324397690245e-54,114.305456325065,"UP"
"PTPN7",-3.51939463786535,1.7360179253406,-19.292090601418,5.3250012835007e-55,6.36598100729503e-54,114.30132473923,"DOWN"
"PCDHB16",2.70454564469154,2.35387746317219,19.285838480394,5.62549452336137e-55,6.72181050266083e-54,114.269433309405,"UP"
"KIF5C",2.26651469913521,6.50019686978524,19.2960969260886,5.14094476630844e-55,6.15530275141712e-54,114.26921595741,"UP"
"AGMAT",-2.48374244867015,-0.989287142660477,-19.2695578884436,6.49002577989318e-55,7.73914247069466e-54,114.224957497855,"DOWN"
"AGPAT4",1.85472598278738,3.94273195068906,19.2844521518838,5.69439048375824e-55,6.80068801723572e-54,114.182082478456,"UP"
"RP6-159A1.4",-2.66935574114483,-0.362422662872276,-19.2622065726381,6.92280625142095e-55,8.24271736760555e-54,114.136086291285,"DOWN"
"RP11-416N2.4",3.0989435482395,0.938312761535459,19.2626132100172,6.89812968776278e-55,8.21748408814448e-54,114.133697024951,"UP"
"ADGRA1-AS1",5.04727927619891,-1.22637747466388,19.2541958746715,7.42734830114511e-55,8.83899416645357e-54,114.130078914202,"UP"
"ABAT",2.60979310507623,6.41392890786895,19.279236936067,5.96121730806576e-55,7.11575063994672e-54,114.122290427054,"UP"
"GFRA2",4.37101330703108,3.32079097759149,19.2663937815055,6.67287928968749e-55,7.95316845911364e-54,114.095839754472,"UP"
"CSRP3",-2.7527472718695,-5.30374091765198,-19.2369756315704,8.63999211050276e-55,1.02665740005254e-53,114.018790495957,"DOWN"
"FAM179A",-3.06224534847816,-0.200370565328824,-19.2451485636849,8.04156082869763e-55,9.56511826860771e-54,113.978700234381,"DOWN"
"H1FNT",-2.67571663611529,-3.4242851567065,-19.2304657840172,9.14837464519249e-55,1.0854261205038e-53,113.942452746966,"DOWN"
"HNRNPA3P9",-2.5554948944673,-3.28644177553094,-19.2264935501363,9.47317748602134e-55,1.12339787512713e-53,113.905902106341,"DOWN"
"CTC-273B12.10",3.19837048534329,-3.66524092865627,19.2201951423984,1.00120035168462e-54,1.18610309870342e-53,113.866658205898,"UP"
"CCDC184",2.75716104029178,4.13930016243982,19.2408112027168,8.35379184225354e-55,9.93149638020334e-54,113.812955567709,"UP"
"RP13-516M14.10",-2.21905536145208,-0.517956878969179,-19.2209293199971,9.94764847448074e-55,1.17907127923406e-53,113.782079144665,"DOWN"
"CH17-13I23.3",2.68263098272781,-1.41067022558631,19.2116943880359,1.07881841061995e-54,1.27549322562871e-53,113.755169523668,"UP"
"MCC",1.84189404696649,4.09249349722093,19.2353622297905,8.76329216494707e-55,1.04078435193659e-53,113.746804651581,"UP"
"RNF180",1.70368460050968,3.39490624675489,19.2313443382287,9.07805510339204e-55,1.07762499106043e-53,113.732806787969,"UP"
"TNS4",-2.87838109024379,-4.08648397837515,-19.2053564181666,1.14058149971222e-54,1.3471655399956e-53,113.731007706081,"DOWN"
"MYO16",-3.67281320670163,-0.115759060483991,-19.2169542816733,1.03010991340278e-54,1.21912707112049e-53,113.726551917589,"DOWN"
