"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"DCK",1.45657633129167,2.49660880426453,13.0556866790285,4.95920794010225e-32,4.13817376184178e-31,61.6563731978629,"UP"
"SLC2A11",-1.02496364368792,2.34379781854164,-13.0638357481524,4.61444599421284e-32,3.85458311203329e-31,61.6139846366942,"DOWN"
"ELMOD3",-0.736655638693291,3.54451659443428,-13.0762225693815,4.13562515326742e-32,3.46443112075241e-31,61.5734613757565,"NOT"
"RPS27",0.995784546675506,8.37757038442953,13.0811286110084,3.95997690510871e-32,3.32437804786779e-31,61.5719122089547,"NOT"
"FAM153C",-2.24013025429125,-4.7841584044201,-13.0127490114051,7.24746670691896e-32,5.99034125814168e-31,61.5580397459483,"DOWN"
"SAMD4A",-1.27633332120114,4.25619817215728,-13.0805807124415,3.97921807751157e-32,3.3393416782193e-31,61.5353219991459,"DOWN"
"BRD7",0.710435828303735,4.8236875933999,13.077502759725,4.08905577137139e-32,3.42907547842539e-31,61.532498681064,"NOT"
"RP11-386M24.6",-2.30677752963464,-4.37581723998363,-13.0065259792304,7.65688292987165e-32,6.31987749670393e-31,61.5049742098599,"DOWN"
"BAX",1.17649344799402,4.66792854483759,13.069424748468,4.39191376784672e-32,3.67390288323104e-31,61.5025827854324,"UP"
"RP11-1260E13.3",-2.21926618098901,-3.75995188404087,-13.0063419234835,7.66933688773323e-32,6.32794114296588e-31,61.5025201542149,"DOWN"
"SNN",1.08888072159541,3.34010784624854,13.0496711742407,5.23007476961649e-32,4.3549471050572e-31,61.4798860762776,"UP"
"IGLON5",-2.68806275640097,-1.020243986853,-13.0131758704013,7.22019708537566e-32,5.96989498048265e-31,61.4587956440611,"DOWN"
"ATXN2",-0.625838126787412,4.56174608985436,-13.068460976628,4.42950909287342e-32,3.70403752558727e-31,61.4224448386275,"NOT"
"WNT3",-1.34091089619693,2.76462728340493,-13.0490347843122,5.25957929637591e-32,4.37796831756601e-31,61.4082591321926,"DOWN"
