"Variable","is_control","contrast_level","ref_level","n_contrast","n_ref","beta","HR","lower_95","upper_95","p.value","global.pval"
"CDK1",FALSE,"CDK1","CDK1",239,239,0.0696,1.07,0.983,1.17,0.117,0.114
"AP1S1",FALSE,"AP1S1","AP1S1",239,239,0.0682,1.07,0.857,1.34,0.549,0.55
"PRND",FALSE,"PRND","PRND",239,239,-0.0533,0.948,0.88,1.02,0.163,0.159
