"Name","K","Kin","Kout","TypeI","TypeII"
"HFM1",5,4,1,0,1
"TCTE3",5,3,2,0,1
"E2F1",20,2,18,0,1
"NGF",15,9,6,0,1
"IL27RA",3,1,2,0,1
"SMC1B",12,8,4,0,1
"ZFC3H1",6,4,2,0,1
"GNA15",13,3,10,0,1
"UXS1",3,1,2,0,1
"GCNT4",5,1,4,0,1
"SNRPD1",30,11,19,0,1
"KL",7,6,1,0,1
"POMC",14,10,4,0,1
"GABBR1",6,4,2,0,1
"NEU4",2,1,1,0,1
"RET",4,2,2,0,1
"GNB1L",2,1,1,0,1
"GZMA",7,2,5,0,1
"PIGC",5,4,1,0,1
"NEGR1",3,2,1,0,1
"HYDIN",6,2,4,0,1
"PPP1R3B",4,3,1,0,1
"SLC18A2",5,1,4,0,1
"LAMA3",16,10,6,0,1
"PKM",28,6,22,0,1
"KIR2DL1",12,4,8,0,1
"VPS35",13,4,9,0,1
"IL1RAP",4,2,2,0,1
"PTPRD",4,2,2,0,1
"PTPRS",7,1,6,0,1
"KCNAB3",7,4,3,0,1
"KRT16",4,3,1,0,1
"S100A8",7,3,4,0,1
"MAPK8IP2",2,1,1,0,1
"PPARG",20,2,18,0,1
"NOD2",9,3,6,0,1
"PLXNB1",8,5,3,0,1
"MUSK",2,1,1,0,1
"NR5A1",3,1,2,0,1
"NSMCE2",7,1,6,0,1
"PITX1",2,1,1,0,1
"PRKG2",5,2,3,0,1
"PLXNC1",4,1,3,0,1
"PRND",2,1,1,0,1
"PYGB",7,1,6,0,1
"RFXANK",3,1,2,0,1
"TEX19",2,1,1,0,1
"SLC1A3",3,1,2,0,1
"SLC34A1",3,1,2,0,1
"SLC6A13",2,1,1,0,1
"XXYLT1",2,1,1,0,1
"TNFRSF10B",3,1,2,0,1
