"cause","effect"
"ACOX2","ACOT4"
"ACOX2","AMACR"
"ACOX2","CPT2"
"ACOX2","DDO"
"ACOX2","EPHX2"
"ACOX2","GSTK1"
"ACOX2","NOS2"
"ACOX2","NUDT19"
"ACOX2","PIPOX"
"ACP2","ENPP1"
"ACP2","FLAD1"
"ACP2","ITPA"
"ACP2","RFK"
"ACSBG1","ABCD4"
"ACSBG1","ACADVL"
"ACSBG1","ACOX2"
"ACSBG1","ELOVL1"
"ACSBG1","ELOVL6"
"ACSBG1","FASN"
"ACSBG1","LPL"
"ACSBG1","MGLL"
"ACSBG1","SLC27A2"
"ACSS1","ACACB"
"ACSS1","ACSS3"
"ACSS1","ACYP2"
"ACSS1","ALDH1B1"
"ACSS1","ALDH3A1"
"ACSS1","ALDH3B1"
"ACSS1","AOX1"
"ACSS1","PCCB"
"ACSS3","PPFIA2"
"ACTA1","ACTA2"
"ACTA1","ACTG2"
"ACTA1","ACTN3"
"ACTA1","ACTR2"
"ACTA1","AGRN"
"ACTA1","ARHGEF7"
"ACTA1","ARPC4"
"ACTA1","CAP1"
"ACTA1","CAPN1"
"ACTA1","CDC42"
"ACTA1","CFL1"
"ACTA1","CTTN"
"ACTA1","DAG1"
"ACTA1","DIAPH1"
"ACTA1","EZR"
"ACTA1","LAMA2"
"ACTA1","LAMB2"
"ACTA1","MYH11"
"ACTA1","MYH6"
"ACTA1","MYO6"
"ACTA1","PAK4"
"ACTA1","PAK7"
"ACTA1","PIK3R1"
"ACTA1","TAGLN"
"ACTA1","TNNC2"
"ACTA1","TPM2"
"ACTA1","TPM3"
"ACTA1","TTN"
"ACTA1","VEGFA"
"ACTA2","ACTN2"
"ACTA2","CFL1"
"ACTA2","MAML2"
"ACTA2","MAMLD1"
"ACTA2","MYH14"
"ACTA2","MYL12B"
"ACTA2","MYL6"
"ACTA2","TAGLN"
"ACTB","ACTA1"
"ACTB","ACTBL2"
"ACTB","ACTL6A"
"ACTB","ACTN2"
"ACTB","ACTR2"
"ACTB","AIF1"
"ACTB","ARPC1B"
"ACTB","ARPC4"
"ACTB","CAP1"
"ACTB","CASP8"
"ACTB","CD44"
"ACTB","CDC42"
"ACTB","CDKN1A"
"ACTB","CETN2"
"ACTB","CFL1"
"ACTB","CHEK1"
"ACTB","CTNNA2"
"ACTB","CTNNA3"
"ACTB","CYBB"
"ACTB","CYFIP2"
"ACTB","DIAPH1"
"ACTB","DLG4"
"ACTB","DMD"
"ACTB","EVL"
"ACTB","EZR"
"ACTB","H3F3A"
"ACTB","HIST1H2AC"
"ACTB","HIST1H4C"
"ACTB","HIST1H4D"
"ACTB","HIST1H4H"
"ACTB","HIST1H4I"
"ACTB","HIST2H3PS2"
"ACTB","HIST2H4A"
"ACTB","HIST2H4B"
"ACTB","HIST3H2A"
