"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"C11orf53",-1.92726618179569,-4.15680333370822,-7.57353066457457,1.72065632240468e-13,3.28408547786242e-13,19.5315659225447,"DOWN"
"DBP",0.698289207502357,5.11855010992206,7.67383925471914,8.56326458047273e-14,1.65032150487473e-13,19.5285613528758,"NOT"
"LLNLF-173C4.1",-0.871117828739204,1.91036113263143,-7.6314897755771,1.15068889805653e-13,2.21023573532473e-13,19.5254976811263,"NOT"
"DCPS",0.604695612444985,3.64817780871358,7.64545693998503,1.04399249344951e-13,2.00828185627949e-13,19.52419520529,"NOT"
"TP53",1.25330200771342,6.17971123112821,7.68273487306112,8.04668449156832e-14,1.55231044496514e-13,19.522777299667,"UP"
"PPM1J",1.07084090973705,2.19256012329567,7.61288844517185,1.30962962340425e-13,2.51054785757874e-13,19.5158340473746,"UP"
"TMEM75",-1.36132080357311,-3.65972213441369,-7.57111224606042,1.74969792811958e-13,3.33857486291633e-13,19.514154095128,"DOWN"
"DYM",-0.452459502722095,5.32046272344662,-7.68600649143458,7.86452906913323e-14,1.51749421480564e-13,19.5132214908533,"NOT"
"H2AFZ",0.639476964678459,6.81880469250316,7.69061219950304,7.61496615103074e-14,1.46954916568258e-13,19.5085004483817,"NOT"
"LRWD1",0.583240762536127,4.42798790874601,7.6589070421087,9.50485765796723e-14,1.82996520964925e-13,19.5041341093022,"NOT"
"MPC1L",-0.757380247948737,-6.64373591753103,-7.56916828304901,1.77339173503917e-13,3.38307041376175e-13,19.5040272480446,"NOT"
"CTD-3001H11.2",-0.958819115747572,-1.70828427112488,-7.58014627535119,1.64361759208932e-13,3.13947866399363e-13,19.5015619794086,"NOT"
"QKI",-0.454739978379308,6.21530700728869,-7.69062930038973,7.61405423591719e-14,1.46947777935782e-13,19.50059199446,"NOT"
"CEP295",-0.553152805277975,3.68936711034681,-7.65739251365221,9.6058795276451e-14,1.84902098511547e-13,19.4821176732438,"NOT"
"FRS3",-0.490334518263527,2.85192205571546,-7.63857100191721,1.09531636129425e-13,2.10581599683802e-13,19.4819885683436,"NOT"
"TCTEX1D4",1.41372516163711,-1.60899499946361,7.56785534499927,1.78957294228703e-13,3.41345867534023e-13,19.4782213504121,"UP"
"RP11-42O4.2",1.33638903957883,-4.05463064820357,7.56338508739359,1.84576485161691e-13,3.51964950464465e-13,19.4687541119781,"UP"
"FAM212B-AS1",-1.16760432591796,-2.10689027169396,-7.5726246248319,1.73148044033777e-13,3.30427941848649e-13,19.4661756660437,"DOWN"
"PKN3",0.87206114577521,3.13350618122672,7.62348713255862,1.21659211629173e-13,2.33483722353659e-13,19.4648575133662,"NOT"
"MPP4",-1.17105458946858,-3.71314316772425,-7.56348650691768,1.84447092195134e-13,3.51742953055811e-13,19.4647243440612,"DOWN"
