"Variable","is_control","contrast_level","ref_level","n_contrast","n_ref","beta","HR","lower_95","upper_95","p.value","global.pval"
"ADAM10",FALSE,"ADAM10","ADAM10",179,179,0.0919,1.1,0.811,1.48,0.55,0.548
"ADAM17",FALSE,"ADAM17","ADAM17",179,179,-0.0984,0.906,0.715,1.15,0.417,0.416
"GSK3B",FALSE,"GSK3B","GSK3B",179,179,0.148,1.16,0.849,1.58,0.351,0.352
"CDK1",FALSE,"CDK1","CDK1",179,179,0.0472,1.05,0.865,1.27,0.63,0.623
"MAP1LC3A",FALSE,"MAP1LC3A","MAP1LC3A",179,179,0.0567,1.06,0.857,1.31,0.598,0.598
"MAPT",FALSE,"MAPT","MAPT",179,179,-0.00971,0.99,0.88,1.11,0.872,0.872
"COA6",FALSE,"COA6","COA6",179,179,0.0476,1.05,0.825,1.33,0.698,0.698
"MT-CO2",FALSE,"MT-CO2","MT-CO2",179,179,0.0244,1.02,0.756,1.39,0.875,0.875
"STEAP3",FALSE,"STEAP3","STEAP3",179,179,-0.113,0.893,0.722,1.1,0.297,0.304
