"Name","K","Kin","Kout","TypeI","TypeII"
"CAMK2G",14,4,10,0,1
"DLG2",25,10,15,0,1
"MYO6",13,9,4,0,1
"YWHAB",30,20,10,0,1
"FPR2",6,4,2,0,1
"S100A7",7,6,1,0,1
"CANT1",6,2,4,0,1
"ENTPD8",12,7,5,0,1
"SLC45A3",2,1,1,0,1
"EDEM3",18,9,9,0,1
"EVPL",13,5,8,0,1
"NRXN1",16,12,4,0,1
"PTBP1",15,8,7,0,1
"PTBP2",6,4,2,0,1
"LDB3",21,16,5,0,1
"MYOZ2",12,3,9,0,1
"OCLN",25,13,12,0,1
"CBFA2T3",3,1,2,0,1
"ERBB4",24,8,16,0,1
"LDB2",7,3,4,0,1
"LRRTM1",6,1,5,0,1
"NRXN3",19,18,1,0,1
"CBX3",20,3,17,0,1
"HIST1H2AD",42,16,26,0,1
"DSEL",4,3,1,0,1
"CCDC108",3,1,2,0,1
"CCR8",27,13,14,0,1
"CXCR3",40,22,18,0,1
"COL1A2",31,16,15,0,1
"CSF2",43,14,29,0,1
"CXCL8",54,22,32,0,1
"IL1B",53,14,39,0,1
"LIN9",16,11,5,0,1
"HIST1H2AJ",39,12,27,0,1
"CD163",19,11,8,0,1
"FCGR1A",18,13,5,0,1
"FCGR3A",39,26,13,0,1
"CD3D",30,10,20,0,1
"CD86",45,22,23,0,1
"CD79A",21,2,19,0,1
"CD79B",18,12,6,0,1
"SPN",15,10,5,0,1
"ITGA8",25,14,11,0,1
"TYROBP",35,5,30,0,1
"CD80",57,12,45,0,1
"HLA-DQA1",18,6,12,0,1
"ITGA2",42,14,28,0,1
"CLDN1",6,1,5,0,1
"CLDN4",10,8,2,0,1
"CLDN7",14,7,7,0,1
"F11R",12,6,6,0,1
"GDNF",18,13,5,0,1
"GFRA1",11,4,7,0,1
"PKP3",17,10,7,0,1
"ROBO3",5,3,2,0,1
"PTK6",6,5,1,0,1
"CDSN",9,8,1,0,1
"KLK3",4,2,2,0,1
"ESR1",18,11,7,0,1
"GATA4",21,12,9,0,1
"CENPH",27,7,20,0,1
"LIMK1",13,8,5,0,1
"MARVELD2",9,5,4,0,1
"CLDN12",7,1,6,0,1
"CHL1",8,1,7,0,1
"CHML",10,5,5,0,1
"OPN3",3,2,1,0,1
"KIAA0196",5,2,3,0,1
"RGMB",7,2,5,0,1
"PAK2",39,12,27,0,1
"CKAP4",2,1,1,0,1
"SLC12A5",5,2,3,0,1
"SLC9A3R1",15,2,13,0,1
"CLPB",8,1,7,0,1
"NRM",3,1,2,0,1
"CNGB3",5,1,4,0,1
"CNR2",3,2,1,0,1
"CNTFR",3,2,1,0,1
"COA6",3,2,1,0,1
"TIMM8A",4,3,1,0,1
"COL11A1",17,11,6,0,1
"LUM",25,5,20,0,1
"STX2",7,6,1,0,1
"SNRPG",31,7,24,0,1
"KYNU",5,1,4,0,1
"CSAG1",6,2,4,0,1
"CSE1L",8,2,6,0,1
"MAGI2",5,3,2,0,1
"MED1",12,6,6,0,1
"CTSF",3,1,2,0,1
"GBP1",19,9,10,0,1
"F2R",20,9,11,0,1
"NOX1",7,3,4,0,1
"CYCS",19,5,14,0,1
"MT-CO2",10,6,4,0,1
"CYP17A1",9,5,4,0,1
"INSL3",2,1,1,0,1
"PTGS1",15,6,9,0,1
"PLA2G4E",3,2,1,0,1
"GNL3L",26,11,15,0,1
"DCDC2",3,1,2,0,1
"PNP",10,5,5,0,1
"MAB21L1",5,4,1,0,1
"PIFO",2,1,1,0,1
"IHH",17,5,12,0,1
"PTCH2",9,7,2,0,1
"SHH",26,14,12,0,1
"DLGAP2",9,7,2,0,1
"DMBT1",6,3,3,0,1
"SFTPD",5,2,3,0,1
"SGCE",8,7,1,0,1
"WDR66",5,2,3,0,1
"DNAJB5",4,3,1,0,1
"P2RX6",5,4,1,0,1
"HSPA13",14,4,10,0,1
"PLXNA4",9,6,3,0,1
"PKP1",13,5,8,0,1
"KIF5A",17,11,6,0,1
"PARP9",13,5,8,0,1
"DUOXA2",4,2,2,0,1
"TRRAP",17,9,8,0,1
"IKZF3",8,1,7,0,1
"NEDD4L",12,9,3,0,1
"RRAS",17,3,14,0,1
"SOCS1",14,7,7,0,1
"PRX",4,2,2,0,1
"IRAK1",25,16,9,0,1
"IFIH1",34,8,26,0,1
"FGFR3",16,10,6,0,1
"GPX2",10,6,4,0,1
"IL23R",9,5,4,0,1
"SPRR1B",11,4,7,0,1
"KLKB1",6,1,5,0,1
"RAD54B",16,6,10,0,1
"LIPT2",2,1,1,0,1
"FCER1G",19,3,16,0,1
"PIGR",5,1,4,0,1
"TDP1",11,4,7,0,1
"NRP2",15,9,6,0,1
"STXBP2",7,6,1,0,1
"FLNC",17,6,11,0,1
"STEAP3",5,4,1,0,1
"HNF4A",19,9,10,0,1
"GLB1",17,5,12,0,1
"GABBR1",3,1,2,0,1
"NPY",8,6,2,0,1
"GABRA3",2,1,1,0,1
"TBX18",7,5,2,0,1
"GFI1",5,3,2,0,1
"RAP1A",22,9,13,0,1
"PF4",9,5,4,0,1
"RGS11",6,5,1,0,1
"SV2B",4,3,1,0,1
"NTRK3",9,5,4,0,1
"IRF6",12,2,10,0,1
"TM6SF1",2,1,1,0,1
"TM6SF2",4,3,1,0,1
