"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"RP11-192H23.7",0.914352507862825,-2.63655193972103,9.6616558296563,5.25922017864375e-21,1.30122079145023e-20,36.1926405839532,"NOT"
"RP3-410C9.2",-0.721951037423921,-5.97962123592039,-9.66500537354412,5.1067754620682e-21,1.26408745789527e-20,36.1879767963104,"NOT"
"RP11-724O16.1",-1.93365159405342,-2.67972719476321,-9.65535100759275,5.5584988435987e-21,1.37349044337488e-20,36.1848531470256,"DOWN"
"RP11-23P13.6",-1.51410878561455,-0.925028218948264,-9.66152554855601,5.26523977417706e-21,1.30258976597711e-20,36.1833435003394,"DOWN"
"GATAD2A",0.839671242827407,5.93017576543419,9.68021584368584,4.46779535674923e-21,1.1082765226188e-20,36.1770926018203,"NOT"
"PARP4",0.897054748040335,6.06820901735465,9.67901131863006,4.51536797048245e-21,1.11997356562652e-20,36.1730243817932,"NOT"
"ARHGAP21",0.863854767158207,6.28576767065865,9.67752626886849,4.57471124494773e-21,1.13448262468493e-20,36.1674912565453,"NOT"
"TBC1D23",0.726105964471762,4.97149015512028,9.68199753752739,4.39833669196154e-21,1.0914511841124e-20,36.1586249249226,"NOT"
"RP11-160H22.5",0.948408151326405,-4.91276352280842,9.65372911283407,5.63817782188684e-21,1.39292179408855e-20,36.1565414543008,"NOT"
"STX8",-0.710630811865195,4.03381178232817,-9.68553860708051,4.26345042492241e-21,1.05827330082002e-20,36.1549228100164,"NOT"
"MPPED2",-1.14796927545776,0.927195566901735,-9.67015429802,4.88093384390578e-21,1.20919072640779e-20,36.1514537065728,"DOWN"
"RP3-467N11.1",0.637443695527836,-0.472715147687943,9.66729590680646,5.00505754241768e-21,1.23925280295153e-20,36.148805837388,"NOT"
"PES1P2",-0.850953251638298,-5.80591214607797,-9.65934429592369,5.36704379278259e-21,1.32716231148211e-20,36.1426488414883,"NOT"
"ZSWIM4",1.24305266017068,3.93382994027374,9.68102516521455,4.43611056188402e-21,1.10062077725253e-20,36.1374790785269,"UP"
"SIDT1",1.20096236202839,0.956476859152264,9.67546150029951,4.65850652832634e-21,1.15472822222832e-20,36.1347676160029,"UP"
"MED19",0.676708567483038,3.11175750356707,9.68087899279569,4.44181666481811e-21,1.10193437330592e-20,36.1242472846506,"NOT"
"ODF3L1",1.35928717524838,-2.03806542275543,9.65782055861952,5.43931475414066e-21,1.34441260997607e-20,36.1224024925968,"UP"
"RABAC1",-0.826871186468694,5.8859001097498,-9.67731027651438,4.58340652919261e-21,1.13653369460104e-20,36.1141863461286,"NOT"
"RP11-862L9.3",-1.27288857232295,-4.26739175260458,-9.65049318222235,5.80054633060599e-21,1.43237434891454e-20,36.1129257631106,"DOWN"
"RP11-155D18.13",-0.943143340835465,-1.74206814406135,-9.65053805573367,5.79826335251856e-21,1.43194266891412e-20,36.1127016075866,"NOT"
"FAR2",0.95068640283408,2.6291755951416,9.67881106848344,4.52332534513772e-21,1.1218433484518e-20,36.112393260278,"NOT"
"TTLL9",-0.85515347348907,-2.12248162970309,-9.64751242538104,5.9542062302536e-21,1.46964103809882e-20,36.1013942239222,"NOT"
"FBXO31",-0.812623367654915,5.60959798302549,-9.67597612643823,4.63748004884985e-21,1.14972917258873e-20,36.0944461104809,"NOT"
"POGK",0.764518419436437,5.80706171442602,9.66732842887409,5.00362785391477e-21,1.23901339745524e-20,36.0587226500782,"NOT"
"NEMP2",0.609264785097946,2.72035497413606,9.67219783565273,4.7940691346635e-21,1.1877809822538e-20,36.053807544765,"NOT"
"KIAA1683",-1.01915880807684,2.29401225395729,-9.6657978383116,5.07135407066294e-21,1.25543562213462e-20,36.0434609919945,"DOWN"
"ADAMTS15",-1.25266701151823,3.2889468277539,-9.66992688856344,4.89069625311608e-21,1.2114971390144e-20,36.0409705396599,"DOWN"
"AC091814.2",-0.958571789911011,-5.50391257685631,-9.64638763764106,6.01323198069484e-21,1.48407319154815e-20,36.0397796929544,"NOT"
"RP13-650J16.1",-1.38047242184291,-3.53026416659051,-9.63938356154958,6.39405387139792e-21,1.57733349579781e-20,36.035911353474,"DOWN"
"CLSTN2",-1.11255390755626,3.13190479026741,-9.66875041754954,4.94151049464462e-21,1.22385809873377e-20,36.0340623875906,"DOWN"
"CTC-573N18.1",1.10524339267669,-5.24466367992542,9.63921544401709,6.40348240470538e-21,1.5795138605231e-20,36.0238984405458,"UP"
"AC093323.3",-0.657840396597547,3.41912108676439,-9.66869210064678,4.94404288661123e-21,1.22437203036946e-20,36.016739741929,"NOT"
"TYR",-0.745709624689511,-5.84216801047324,-9.64258289968854,6.21722436705259e-21,1.53427733412387e-20,35.9980987921682,"NOT"
"GAS1",-1.46530656314721,3.93857199310631,-9.66669369037993,5.03160457808277e-21,1.24571064702247e-20,35.9971252013369,"DOWN"
"GRID1",-0.846648947275815,0.682887661978038,-9.64992876546199,5.82933767816801e-21,1.43935126494136e-20,35.979642735974,"NOT"
"ESR1",-1.03277478634365,1.07924843939632,-9.65153725459073,5.74765824875101e-21,1.41970711591301e-20,35.9789514216379,"DOWN"
"CCDC181",-1.19658058978252,-1.03283330869898,-9.63796183383442,6.47422427800136e-21,1.59681627448117e-20,35.9749049469982,"DOWN"
"C14orf80",0.769817921672015,2.75024814898556,9.66292730350799,5.20082899317695e-21,1.28713065847963e-20,35.9723731319501,"NOT"
"TRPC6",-1.44061705151803,2.95609529689728,-9.65919577787941,5.37404595889916e-21,1.32864837434304e-20,35.9663245250802,"DOWN"
"DCTN3",-0.722906830975288,5.14696081243789,-9.66246157120451,5.2221423590589e-21,1.29216651921519e-20,35.9660192214081,"NOT"
"SULT4A1",-2.0440445410269,-1.86202630034674,-9.63038178480804,6.91876835930576e-21,1.70535983505518e-20,35.9651486437843,"DOWN"
