"cause","effect"
"ACOT11","KIAA0226L"
"ACOT11","KIAA0226L"
"ACOT9","SYAP1"
"ACOT9","SYAP1"
"ACOX1","ACAA1"
"ACOX1","ACAA1"
"ACOX1","ACACA"
"ACOX1","ACACA"
"ACOX1","ACSL1"
"ACOX1","ACSL1"
"ACOX1","ACSS3"
"ACOX1","ACSS3"
"ACOX1","ALDH6A1"
"ACOX1","ALDH6A1"
"ACOX1","CARM1"
"ACOX1","CARM1"
"ACOX1","CHD9"
"ACOX1","CHD9"
"ACOX1","CITED2"
"ACOX1","CITED2"
"ACOX1","DBT"
"ACOX1","DBT"
"ACOX1","DDO"
"ACOX1","DDO"
"ACOX1","FASN"
"ACOX1","FASN"
"ACOX1","ME1"
"ACOX1","ME1"
"ACOX1","MED1"
"ACOX1","MED1"
"ACOX1","SCD"
"ACOX1","SCD"
"ACSL1","CHD9"
"ACSL1","CHD9"
"ACSL1","ELOVL1"
"ACSL1","ELOVL1"
"ACTA1","ACTN3"
"ACTA1","ACTN3"
"ACTA1","CFL1"
"ACTA1","CFL1"
"ACTA1","EZR"
"ACTA1","EZR"
"ACTA1","TAGLN"
"ACTA1","TAGLN"
"ACTA1","TNNC2"
"ACTA1","TNNC2"
"ACTA1","TNNI2"
"ACTA1","TNNI2"
"ACTA1","WAS"
"ACTA1","WAS"
"ACTB","ACTR1A"
"ACTB","ACTR1A"
"ACTB","ANXA1"
"ACTB","ANXA1"
"ACTB","ARPC1B"
"ACTB","ARPC1B"
"ACTB","ARPC4"
"ACTB","ARPC4"
"ACTB","B2M"
"ACTB","B2M"
"ACTB","BDNF"
"ACTB","BDNF"
"ACTB","CAP1"
"ACTB","CAP1"
"ACTB","CAPZB"
"ACTB","CAPZB"
"ACTB","CASP1"
"ACTB","CASP1"
"ACTB","CDC42"
"ACTB","CDC42"
"ACTB","CDKN1A"
"ACTB","CDKN1A"
"ACTB","CFL1"
"ACTB","CFL1"
"ACTB","COX4I1"
"ACTB","COX4I1"
"ACTB","CYBB"
"ACTB","CYBB"
"ACTB","DCTN2"
"ACTB","DCTN2"
"ACTB","EZR"
"ACTB","EZR"
"ACTB","GRB2"
"ACTB","GRB2"
"ACTB","H3F3A"
"ACTB","H3F3A"
"ACTB","HRAS"
"ACTB","HRAS"
"ACTB","IL10"
"ACTB","IL10"
"ACTB","ILK"
"ACTB","ILK"
"ACTB","INO80D"
"ACTB","INO80D"
"ACTB","INO80E"
"ACTB","INO80E"
"ACTB","ITGA6"
"ACTB","ITGA6"
"ACTB","ITGAM"
"ACTB","ITGAM"
"ACTB","ITSN1"
"ACTB","ITSN1"
"ACTB","LCP1"
"ACTB","LCP1"
"ACTB","MAP1LC3A"
"ACTB","MAP1LC3A"
"ACTB","MAPK8"
"ACTB","MAPK8"
"ACTB","MMP9"
"ACTB","MMP9"
"ACTB","MRGBP"
"ACTB","MRGBP"
"ACTB","MSL1"
"ACTB","MSL1"
"ACTB","MTOR"
"ACTB","MTOR"
"ACTB","MYL12B"
"ACTB","MYL12B"
"ACTB","MYL6"
"ACTB","MYL6"
"ACTB","MYO10"
"ACTB","MYO10"
"ACTB","MYO1C"
"ACTB","MYO1C"
"ACTB","NF1"
"ACTB","NF1"
"ACTB","PGK1"
"ACTB","PGK1"
"ACTB","POLE4"
"ACTB","POLE4"
"ACTB","POLR2E"
"ACTB","POLR2E"
"ACTB","PRKCA"
"ACTB","PRKCA"
"ACTB","PTGS2"
"ACTB","PTGS2"
"ACTB","PTPRC"
"ACTB","PTPRC"
"ACTB","RAD23A"
"ACTB","RAD23A"
"ACTB","RAD23B"
"ACTB","RAD23B"
"ACTB","RHOA"
"ACTB","RHOA"
"ACTB","SQSTM1"
"ACTB","SQSTM1"
"ACTB","SRC"
"ACTB","SRC"
"ACTB","TFPT"
"ACTB","TFPT"
"ACTB","TMSB4X"
"ACTB","TMSB4X"
"ACTB","TNF"
"ACTB","TNF"
"ACTB","TUBB2A"
"ACTB","TUBB2A"
"ACTB","UBC"
"ACTB","UBC"
"ACTB","VEGFA"
"ACTB","VEGFA"
"ACTB","WAS"
"ACTB","WAS"
"ACTB","WASF1"
"ACTB","WASF1"
"ACTB","WDR1"
"ACTB","WDR1"
"ACTB","WIPF1"
"ACTB","WIPF1"
"ACTB","YWHAZ"
"ACTB","YWHAZ"
"ACTR1A","CAPZB"
"ACTR1A","CAPZB"
"ACTR1A","DCTN2"
"ACTR1A","DCTN2"
"ACTR1A","DNAH11"
"ACTR1A","DNAH11"
"ACTR1A","DNAH17"
"ACTR1A","DNAH17"
"ACTR3C","ACTB"
"ACTR3C","ACTB"
"ACTR3C","ARPC1B"
"ACTR3C","ARPC1B"
"ACTR3C","ARPC2"
"ACTR3C","ARPC2"
"ACTR3C","ARPC4"
"ACTR3C","ARPC4"
"ACTR3C","CAPZB"
"ACTR3C","CAPZB"
"ACTR3C","DCTN2"
"ACTR3C","DCTN2"
"ACTR3C","LRRC61"
"ACTR3C","LRRC61"
"ACVR1","BMPR1B"
"ACVR1","BMPR1B"
"ACVR1","FKBP1A"
"ACVR1","FKBP1A"
"ACVR1","FKBP1B"
"ACVR1","FKBP1B"
"ACVRL1","FKBP1A"
"ACVRL1","FKBP1A"
"ADAL","GMPS"
