"Variable","is_control","contrast_level","ref_level","n_contrast","n_ref","beta","HR","lower_95","upper_95","p.value","global.pval"
"ALB",FALSE,"ALB","ALB",89,89,0.0112,1.01,0.88,1.16,0.875,0.876
"BACE1",FALSE,"BACE1","BACE1",89,89,1.4,4.05,1.07,15.3,0.0395,0.0205
"CASP3",FALSE,"CASP3","CASP3",89,89,0.0448,1.05,0.41,2.67,0.925,0.926
"AP1B1",FALSE,"AP1B1","AP1B1",89,89,0.231,1.26,0.455,3.49,0.657,0.654
"CDK1",FALSE,"CDK1","CDK1",89,89,0.913,2.49,1.7,3.66,3.08e-06,3.42e-05
"TMPRSS6",FALSE,"TMPRSS6","TMPRSS6",89,89,0.113,1.12,0.813,1.54,0.489,0.503
"FOXO1",FALSE,"FOXO1","FOXO1",89,89,-0.16,0.852,0.424,1.71,0.654,0.655
