"Name","K","Kin","Kout","TypeI","TypeII"
"DYNC1I1",8,4,4,0,1
"KIF5B",14,5,9,0,1
"FASLG",20,15,5,0,1
"MAPK10",28,14,14,0,1
"LCK",64,26,38,0,1
"BMPR2",19,12,7,0,1
"GREM2",5,3,2,0,1
"NOG",13,8,5,0,1
"DKC1",33,25,8,0,1
"ESCO2",63,28,35,0,1
"CASK",14,8,6,0,1
"C1GALT1C1",20,4,16,0,1
"CACNA1B",24,14,10,0,1
"CACNA1F",19,12,7,0,1
"HSPA2",15,11,4,0,1
"ITGB2",56,45,11,0,1
"C1QB",23,13,10,0,1
"CTSS",24,10,14,0,1
"DXO",2,1,1,0,1
"CFHR1",7,3,4,0,1
"CFHR3",5,4,1,0,1
"C4BPA",3,1,2,0,1
"C6",4,2,2,0,1
"CACNA1D",30,10,20,0,1
"CACNA1S",22,9,13,0,1
"CALCRL",6,5,1,0,1
"VIP",18,11,7,0,1
"MMP9",56,36,20,0,1
"CARKD",6,3,3,0,1
"LEP",19,7,12,0,1
"NLGN1",10,7,3,0,1
"PTBP1",18,10,8,0,1
"MAPK11",40,16,24,0,1
"SUV39H1",11,8,3,0,1
"DNAH1",6,5,1,0,1
"RBM44",4,2,2,0,1
"PSMD1",24,11,13,0,1
"CCR5",55,11,44,0,1
"CX3CR1",27,10,17,0,1
"CXCR3",37,23,14,0,1
"CCL20",31,20,11,0,1
"CXCL8",68,31,37,0,1
"IL18",29,10,19,0,1
"IL1B",77,19,58,0,1
"TERT",24,13,11,0,1
"LIN9",16,11,5,0,1
"PTP4A1",5,4,1,0,1
"KPNA7",7,4,3,0,1
"PRKAR2A",26,7,19,0,1
"PRKAR2B",26,6,20,0,1
"RCC1",12,7,5,0,1
"CD86",57,27,30,0,1
"CD80",59,11,48,0,1
"MOB4",7,4,3,0,1
"TUBA1B",22,11,11,0,1
"CD14",25,8,17,0,1
"IRAK1",28,16,12,0,1
"CD3D",36,12,24,0,1
"HLA-DRB1",42,18,24,0,1
"IL17A",42,24,18,0,1
"ITGA10",15,8,7,0,1
"ITGA8",24,13,11,0,1
"ESPN",8,5,3,0,1
"KIT",38,12,26,0,1
"RGS1",19,12,7,0,1
"GZMA",14,7,7,0,1
"IL33",6,5,1,0,1
"SLA2",8,2,6,0,1
"TLR3",20,7,13,0,1
"TLR8",12,6,6,0,1
