"Variable","is_control","contrast_level","ref_level","n_contrast","n_ref","beta","HR","lower_95","upper_95","p.value","global.pval"
"ALB",FALSE,"ALB","ALB",403,403,0.0494,1.05,1,1.1,0.0317,0.0395
"CDK1",FALSE,"CDK1","CDK1",403,403,-0.0436,0.957,0.85,1.08,0.472,0.478
"AP1S1",FALSE,"AP1S1","AP1S1",403,403,-0.192,0.825,0.698,0.975,0.0239,0.0245
"JUN",FALSE,"JUN","JUN",403,403,0.0101,1.01,0.868,1.18,0.896,0.896
"SP1",FALSE,"SP1","SP1",403,403,-0.113,0.893,0.724,1.1,0.29,0.296
"SORD",FALSE,"SORD","SORD",403,403,-0.0967,0.908,0.787,1.05,0.186,0.188
