"gene","frequency","ACC","AML","BLCA","BRCA","COAD","ESCA","GBM","KICH","KIRC","KIRP","LGG","LIHC","LUAD","LUSC","OVCA","PAAD","PCPG","PRAD","SKCM","STAD","THCA","UCEC","UCS","Total","NumSig"
"ADAM17",1,2,2,2,2,2,0.416,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0
"STEAP3",1,2,2,2,2,2,0.304,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0
"MMGT1",1,2,2,2,2,2,2,0.955,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0
"AP1B1",1,2,2,2,2,2,2,2,0.654,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0
"CCND1",1,2,2,2,2,2,2,2,2,2,0.768,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0
"AANAT",1,2,2,2,2,2,2,2,2,2,2,2,2,0.403,2,2,2,2,2,2,2,2,2,2,1,0
"COMMD1",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.248,2,2,2,2,2,2,2,2,1,0
"F8",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.29,2,2,2,2,2,2,2,1,0
"SUMF1",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.775,2,2,2,2,2,2,2,1,0
"HEPH",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.329,2,2,2,2,1,0
"PARK7",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.653,2,1,0
"LCAT",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.514,1,0
