"Variable","is_control","contrast_level","ref_level","n_contrast","n_ref","beta","HR","lower_95","upper_95","p.value","global.pval"
"AP1S1",FALSE,"AP1S1","AP1S1",57,57,-0.149,0.862,0.516,1.44,0.569,0.572
"FOXO1",FALSE,"FOXO1","FOXO1",57,57,-0.139,0.87,0.657,1.15,0.329,0.34
"LCAT",FALSE,"LCAT","LCAT",57,57,-0.122,0.885,0.614,1.28,0.515,0.514
