"Name","K","Kin","Kout","TypeI","TypeII"
"CALR",46,23,23,0,1
"IMMT",20,11,9,0,1
"XRCC4",18,17,1,0,1
"AR",29,12,17,0,1
"FOXA2",9,8,1,0,1
"NR0B1",7,4,3,0,1
"TMPRSS2",6,3,3,0,1
"GNA14",22,13,9,0,1
"ITGA10",16,8,8,0,1
"ITGA8",31,18,13,0,1
"MET",50,25,25,0,1
"RAB4A",9,7,2,0,1
"SMS",6,4,2,0,1
"RAC3",24,13,11,0,1
"RHOB",18,3,15,0,1
"TUBB2A",30,23,7,0,1
"GNGT1",34,3,31,0,1
"MRAS",11,2,9,0,1
"SNAPC5",7,3,4,0,1
"H1F0",22,9,13,0,1
"HIST1H4J",42,14,28,0,1
"IPO4",44,21,23,0,1
"DPY30",11,5,6,0,1
"ESR1",29,20,9,0,1
"KIF2A",12,9,3,0,1
"MASTL",12,9,3,0,1
"RBBP8",51,41,10,0,1
"STIL",34,23,11,0,1
"INTS5",9,3,6,0,1
"ATAD5",25,12,13,0,1
"ATG5",14,9,5,0,1
"MAP1LC3A",10,8,2,0,1
"FUNDC1",6,4,2,0,1
"GCSH",14,7,7,0,1
"HPRT1",18,5,13,0,1
"PAX6",16,13,3,0,1
"ATP10A",4,2,2,0,1
"TMEM30B",8,7,1,0,1
"ATP1A3",7,5,2,0,1
"FXYD6",5,4,1,0,1
"PRKG1",32,24,8,0,1
"PLN",11,5,6,0,1
"RYR1",14,5,9,0,1
"ATP2A3",10,5,5,0,1
"LHPP",10,8,2,0,1
"ATP5C1",59,35,24,0,1
"ATP5F1",60,41,19,0,1
"VDAC2",25,19,6,0,1
"UQCR10",52,28,24,0,1
"MT-ATP6",15,6,9,0,1
"GMNN",80,15,65,0,1
"MAPRE1",20,12,8,0,1
"PPP1CC",48,31,17,0,1
"PRIM1",79,48,31,0,1
"SUMO1",72,47,25,0,1
"TACC3",44,21,23,0,1
"UBE2N",47,15,32,0,1
"NCL",58,24,34,0,1
"PPP1CA",56,34,22,0,1
"SCARF1",8,2,6,0,1
"AXIN2",9,7,2,0,1
"BPI",7,5,2,0,1
"FUT2",10,8,2,0,1
"B4GALT2",16,5,11,0,1
"MUC3A",19,13,6,0,1
"FMOD",11,9,2,0,1
"TMEM17",4,2,2,0,1
"BANF1",15,6,9,0,1
"PAX9",5,2,3,0,1
"JUN",47,22,25,0,1
"SNRPE",115,93,22,0,1
"BCL10",8,4,4,0,1
"BCL6",17,10,7,0,1
"CEBPD",11,9,2,0,1
"ETV5",7,1,6,0,1
"HIST1H2BK",47,19,28,0,1
"PRDM8",2,1,1,0,1
"GRAP2",17,8,9,0,1
"NOG",11,7,4,0,1
"TFR2",5,4,1,0,1
"GLRX3",11,5,6,0,1
"BRINP2",2,1,1,0,1
"RAD51C",65,31,34,0,1
"DKC1",93,58,35,0,1
"NLE1",63,53,10,0,1
"PUS7",32,21,11,0,1
"PLK3",14,9,5,0,1
"RAD21",43,18,25,0,1
"UNC13B",19,13,6,0,1
"RPTN",16,4,12,0,1
"CYP8B1",5,4,1,0,1
"YRDC",12,11,1,0,1
"PABPC1",54,15,39,0,1
"C1GALT1C1",19,4,15,0,1
"SLC39A9",9,4,5,0,1
"C1orf109",5,3,2,0,1
"ERC2",4,2,2,0,1
"C7orf25",3,2,1,0,1
"CABLES2",3,1,2,0,1
"CAMK2A",31,21,10,0,1
"KCND2",11,6,5,0,1
"VAMP2",46,19,27,0,1
"CALCA",14,7,7,0,1
"RET",18,8,10,0,1
"PPP1CB",35,31,4,0,1
"HLA-E",26,16,10,0,1
"MMP9",44,31,13,0,1
"MPL",11,9,2,0,1
"ERO1L",9,7,2,0,1
"ITIH4",13,4,9,0,1
"RAB10",11,3,8,0,1
"FXR1",10,6,4,0,1
"LIMK1",17,8,9,0,1
"LDB3",20,14,6,0,1
"CDH5",28,14,14,0,1
"FGFR1",35,28,7,0,1
"TGFBR2",14,10,4,0,1
"CBFA2T3",5,3,2,0,1
"ERBB4",29,20,9,0,1
"LDB2",7,4,3,0,1
"CBX3",23,4,19,0,1
"CETN2",28,17,11,0,1
"CCDC102B",2,1,1,0,1
"CFAP43",12,5,7,0,1
"CFAP69",9,5,4,0,1
"CCDC114",19,8,11,0,1
"RBM44",3,2,1,0,1
"CCDC138",3,2,1,0,1
"WDR90",8,3,5,0,1
"SLC17A9",2,1,1,0,1
"CCR8",12,7,5,0,1
"CXCR3",27,16,11,0,1
"IL13",30,13,17,0,1
"IL1A",19,4,15,0,1
"IL1B",62,15,47,0,1
"LIN9",17,9,8,0,1
"NUP54",59,10,49,0,1
"YWHAG",29,10,19,0,1
"RARRES2",5,4,1,0,1
"DDX1",16,11,5,0,1
"PSMD2",67,36,31,0,1
"PSMG1",20,13,7,0,1
"TNFRSF14",6,2,4,0,1
"CR2",10,6,4,0,1
"NCR1",14,6,8,0,1
"SPN",14,8,6,0,1
"CD3G",19,17,2,0,1
"CD300C",12,6,6,0,1
"KIT",47,13,34,0,1
"IL15",27,10,17,0,1
"S1PR1",19,9,10,0,1
"THY1",18,5,13,0,1
"CDK5R1",16,9,7,0,1
"CDC5L",21,2,19,0,1
"F11R",7,3,4,0,1
"GJA1",22,7,15,0,1
"PKP3",18,9,9,0,1
"CTNND2",5,2,3,0,1
"CDKL5",8,5,3,0,1
"CDSN",18,14,4,0,1
"CSTF2T",14,8,6,0,1
"CEACAM5",4,1,3,0,1
"STAT5A",33,6,27,0,1
"FZD6",20,14,6,0,1
"FZD9",11,6,5,0,1
"VANGL1",10,6,4,0,1
"SASS6",9,4,5,0,1
"ROS1",2,1,1,0,1
"DNAH10",4,3,1,0,1
"MARVELD2",7,3,4,0,1
"SAMM50",25,10,15,0,1
"SYT2",8,4,4,0,1
"CHID1",3,2,1,0,1
"CHRNA2",5,4,1,0,1
"UBIAD1",5,4,1,0,1
"SPATA5",10,3,7,0,1
"XRN2",39,31,8,0,1
"MYLPF",18,5,13,0,1
"SGSH",5,3,2,0,1
"CLCNKA",3,1,2,0,1
"KCNJ1",4,2,2,0,1
"CLDN12",6,1,5,0,1
"DPYSL2",11,4,7,0,1
"IVL",23,16,7,0,1
"GUCY2D",16,4,12,0,1
"RD3",6,3,3,0,1
"TMED10",37,16,21,0,1
"TMED2",10,1,9,0,1
"GRIK2",6,4,2,0,1
"LMOD1",8,4,4,0,1
"PAIP1",11,3,8,0,1
"DPP6",7,3,4,0,1
"P4HA1",26,4,22,0,1
"TLL2",7,4,3,0,1
"SLC3A2",12,8,4,0,1
"NCBP2",66,36,30,0,1
"THOC7",14,5,9,0,1
"CRHBP",4,1,3,0,1
"GAB2",20,15,5,0,1
"CSAG1",6,2,4,0,1
"MAGEA3",9,7,2,0,1
"XPOT",23,11,12,0,1
"ZCRB1",21,6,15,0,1
"LRAT",4,2,2,0,1
"CYP27C1",2,1,1,0,1
"TRPV4",7,5,2,0,1
"WDFY4",3,2,1,0,1
"IARS2",16,8,8,0,1
"PCDH15",9,5,4,0,1
"DCK",15,1,14,0,1
"FGF2",56,15,41,0,1
"PMEL",6,1,5,0,1
