"Variable","is_control","contrast_level","ref_level","n_contrast","n_ref","beta","HR","lower_95","upper_95","p.value","global.pval"
"GSK3B",FALSE,"GSK3B","GSK3B",189,189,0.211,1.24,0.957,1.59,0.104,0.0997
"CYP1A1",FALSE,"CYP1A1","CYP1A1",189,189,-0.000676,0.999,0.916,1.09,0.988,0.988
"MAP1LC3A",FALSE,"MAP1LC3A","MAP1LC3A",189,189,0.182,1.2,1.01,1.42,0.035,0.0298
"JUN",FALSE,"JUN","JUN",189,189,0.245,1.28,1.09,1.5,0.00297,0.00314
"IL1A",FALSE,"IL1A","IL1A",189,189,0.0428,1.04,0.951,1.15,0.37,0.369
"SPATA5",FALSE,"SPATA5","SPATA5",189,189,0.257,1.29,1.01,1.66,0.0455,0.0442
"SORD",FALSE,"SORD","SORD",189,189,-0.00128,0.999,0.827,1.21,0.989,0.989
"TP53",FALSE,"TP53","TP53",189,189,0.0567,1.06,0.904,1.24,0.482,0.481
