"Variable","is_control","contrast_level","ref_level","n_contrast","n_ref","beta","HR","lower_95","upper_95","p.value","global.pval"
"AANAT",FALSE,"AANAT","AANAT",265,265,-0.0692,0.933,0.792,1.1,0.408,0.403
"CYP1A1",FALSE,"CYP1A1","CYP1A1",265,265,-0.0286,0.972,0.906,1.04,0.421,0.409
"CDK1",FALSE,"CDK1","CDK1",265,265,0.102,1.11,0.977,1.25,0.112,0.111
"DBH",FALSE,"DBH","DBH",265,265,-0.181,0.835,0.727,0.958,0.0101,0.0104
"AP1S1",FALSE,"AP1S1","AP1S1",265,265,-0.00479,0.995,0.833,1.19,0.958,0.958
"AQP1",FALSE,"AQP1","AQP1",265,265,-0.0393,0.961,0.875,1.06,0.417,0.418
"MT1X",FALSE,"MT1X","MT1X",265,265,0.0422,1.04,0.917,1.19,0.52,0.521
"TP53",FALSE,"TP53","TP53",265,265,-0.185,0.831,0.691,0.999,0.0492,0.0506
