"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"RP11-259G18.2",-0.348259416717265,-3.04910459594561,-1.73000674754135,0.0843074222306422,0.0942666907242135,-6.19010389648839,"NOT"
"ADAM29",-0.384716656242222,-2.3600170427845,-1.74133827952668,0.0823004141231359,0.0921011644680921,-6.19015162535365,"NOT"
"bP-2171C21.4",-0.369029966959407,-3.73209553306665,-1.71750609515235,0.0865674124460562,0.0967502141703679,-6.19692335079277,"NOT"
"ATP6V1A",-0.15652018580301,6.80929045130088,-2.2183412313088,0.0270246710934558,0.0312962883296284,-6.19893148782439,"NOT"
"GBF1",-0.0960790319876805,6.49092993131843,-2.21415671206275,0.0273131795540477,0.0316201064773581,-6.19940821777801,"NOT"
"HOXD1",0.422304872901363,-0.646661812397684,1.78120704238521,0.0755458616669012,0.0847708103046385,-6.20248729299751,"NOT"
"AC144831.1",-0.203372434278154,0.236115500944388,-1.84207579150962,0.0661148431290314,0.0745239640810334,-6.20251602631351,"NOT"
"RP5-943J3.2",0.17046113988434,-1.87278727440709,1.74038923410099,0.0824670011604004,0.092275149617966,-6.20287821163093,"NOT"
"RP11-108M9.6",-0.261015419713831,-4.38767358097555,-1.70508639211879,0.0888611277512032,0.0992602791956676,-6.20358899885577,"NOT"
"PDYN",-0.596536055035545,0.920619635873856,-1.88981439346248,0.0594184152026124,0.0672192247213309,-6.20367318366052,"NOT"
"GATA6",-0.370515596962876,-3.10211635521487,-1.72046802945403,0.0860275361516763,0.0961511481883755,-6.20555997110289,"NOT"
"RP11-68L18.1",0.199352000560754,-2.0735027426781,1.73161330690208,0.0840204784182313,0.0939585061767126,-6.20970300533948,"NOT"
"IFNGR2",0.136996205130939,5.20970783097962,2.16225347017694,0.0311193252021407,0.0358829724271384,-6.21051417699243,"NOT"
"RP11-57A19.2",0.24612658160893,-1.55143398611413,1.74346947526045,0.0819273204111934,0.0916918817221675,-6.21187816633541,"NOT"
"NKX3-1",0.196024460973611,0.389358273062866,1.83427360447519,0.0672664631431904,0.0757843255363224,-6.21196366710535,"NOT"
