"cause","effect"
"ABL1","ROBO1"
"ABL1","ROBO1"
"ABL1","SH3BP2"
"ABL1","SH3BP2"
"ABL1","SHC3"
"ABL1","SHC3"
"ABL1","ST5"
"ABL1","ST5"
"ABL1","WASF2"
"ABL1","WASF2"
"ABL1","YES1"
"ABL1","YES1"
"ABTB1","EEF1D"
"ABTB1","EEF1D"
"ABTB1","SLC4A1"
"ABTB1","SLC4A1"
"ACACB","CPT1B"
"ACACB","CPT1B"
"ACACB","SUCLG2"
"ACACB","SUCLG2"
"ACADL","HADHA"
"ACADL","HADHA"
"ACADL","MCCC2"
"ACADL","MCCC2"
"ACADL","PCCB"
"ACADL","PCCB"
"ACADL","SLC27A2"
"ACADL","SLC27A2"
"ACAN","ADAMTS9"
"ACAN","ADAMTS9"
"ACBD3","BPNT1"
"ACBD3","BPNT1"
"ACBD3","SLC11A2"
"ACBD3","SLC11A2"
"ACBD3","TSPO"
"ACBD3","TSPO"
"ACER2","ASAH1"
"ACER2","ASAH1"
"ACHE","CHKB"
"ACHE","CHKB"
"ACHE","PHOSPHO1"
"ACHE","PHOSPHO1"
"ACKR1","FYB"
"ACKR1","FYB"
"ACKR1","NGF"
"ACKR1","NGF"
"ACKR3","ARRB1"
"ACKR3","ARRB1"
"ACKR3","CXCR4"
"ACKR3","CXCR4"
"ACKR3","EGFR"
"ACKR3","EGFR"
"ACKR3","SAG"
"ACKR3","SAG"
"ACLY","ACACB"
"ACLY","ACACB"
"ACLY","GLUD2"
"ACLY","GLUD2"
"ACLY","HMGCS2"
"ACLY","HMGCS2"
"ACLY","IDH1"
"ACLY","IDH1"
"ACLY","MDH1"
"ACLY","MDH1"
"ACOT11","PGM2"
"ACOT11","PGM2"
"ACOT11","RDH13"
"ACOT11","RDH13"
"ACOT11","SHD"
"ACOT11","SHD"
"ACOT12","ACACB"
"ACOT12","ACACB"
"ACOT12","SUCLG2"
"ACOT12","SUCLG2"
"ACOT4","ACOT7"
"ACOT4","ACOT7"
"ACOT4","FADS6"
"ACOT4","FADS6"
"ACOT4","IDH1"
"ACOT4","IDH1"
"ACOT4","NOS2"
"ACOT4","NOS2"
"ACOT4","THEM5"
"ACOT4","THEM5"
"ACOT7","TPRG1L"
"ACOT7","TPRG1L"
"ACOX1","ALDH3A2"
"ACOX1","ALDH3A2"
"ACOX1","ALDH9A1"
"ACOX1","ALDH9A1"
"ACOX1","CHD9"
"ACOX1","CHD9"
"ACOX1","CROT"
"ACOX1","CROT"
"ACOX1","DDO"
"ACOX1","DDO"
"ACOX1","HADHA"
"ACOX1","HADHA"
"ACOX1","HELZ2"
"ACOX1","HELZ2"
"ACOX1","IDH1"
"ACOX1","IDH1"
"ACOX1","LPL"
"ACOX1","LPL"
"ACOX1","MED1"
"ACOX1","MED1"
"ACOX1","NRIP1"
"ACOX1","NRIP1"
"ACOX1","PCCB"
"ACOX1","PCCB"
"ACOX1","PEX12"
"ACOX1","PEX12"
"ACR","DDX4"
"ACR","DDX4"
"ACTA1","ACTN2"
"ACTA1","ACTN2"
"ACTA1","ACTN3"
"ACTA1","ACTN3"
"ACTA1","DAG1"
"ACTA1","DAG1"
"ACTA1","EZR"
"ACTA1","EZR"
"ACTA1","ITGB1"
"ACTA1","ITGB1"
"ACTA1","LAMB2"
"ACTA1","LAMB2"
"ACTA1","MYH11"
"ACTA1","MYH11"
"ACTA1","PAK7"
"ACTA1","PAK7"
"ACTA1","PPP1R15B"
"ACTA1","PPP1R15B"
"ACTA1","RHOA"
"ACTA1","RHOA"
"ACTA1","TNNC2"
"ACTA1","TNNC2"
"ACTA1","WAS"
"ACTA1","WAS"
"ACTA1","WASF2"
"ACTA1","WASF2"
"ACTA1","WIPF1"
"ACTA1","WIPF1"
"ACTB","ACTA1"
"ACTB","ACTA1"
"ACTB","ACTG1"
"ACTB","ACTG1"
"ACTB","ACTL6A"
"ACTB","ACTL6A"
"ACTB","ACTN2"
"ACTB","ACTN2"
"ACTB","AIF1"
"ACTB","AIF1"
"ACTB","ANXA1"
"ACTB","ANXA1"
"ACTB","ARPC1B"
"ACTB","ARPC1B"
"ACTB","B2M"
"ACTB","B2M"
"ACTB","BRD7"
"ACTB","BRD7"
"ACTB","CASP1"
"ACTB","CASP1"
"ACTB","CD44"
"ACTB","CD44"
"ACTB","CDKN1A"
"ACTB","CDKN1A"
"ACTB","CHEK1"
