"Variable","is_control","contrast_level","ref_level","n_contrast","n_ref","beta","HR","lower_95","upper_95","p.value","global.pval"
"ALB",FALSE,"ALB","ALB",373,373,0.158,1.17,0.87,1.58,0.298,0.334
"ARF1",FALSE,"ARF1","ARF1",373,373,-0.563,0.57,0.116,2.79,0.488,0.49
"APP",FALSE,"APP","APP",373,373,-0.296,0.744,0.33,1.68,0.476,0.491
"AP1S1",FALSE,"AP1S1","AP1S1",373,373,1,2.72,0.583,12.7,0.203,0.203
"CDK1",FALSE,"CDK1","CDK1",373,373,0.401,1.49,0.741,3.01,0.262,0.272
"MAPT",FALSE,"MAPT","MAPT",373,373,0.0217,1.02,0.477,2.19,0.955,0.955
"XAF1",FALSE,"XAF1","XAF1",373,373,-0.103,0.902,0.462,1.76,0.762,0.762
