"Name","K","Kin","Kout","TypeI","TypeII"
"ITIH4",11,5,6,0,1
"PDIA4",19,7,12,0,1
"RAB10",13,5,8,0,1
"EVPL",7,3,4,0,1
"TRH",6,2,4,0,1
"LDB3",19,14,5,0,1
"MYCBPAP",5,3,2,0,1
"WDR90",8,1,7,0,1
"RPL15",66,22,44,0,1
"SEC61G",47,33,14,0,1
"CX3CR1",13,8,5,0,1
"CXCL9",21,15,6,0,1
"CXCR3",19,14,5,0,1
"DPP4",10,5,5,0,1
"TERT",18,6,12,0,1
"CCNG2",6,3,3,0,1
"PTK6",5,4,1,0,1
"CXCL14",7,5,2,0,1
"CCT4",44,33,11,0,1
"ILF2",17,10,7,0,1
"TCP1",44,21,23,0,1
"CD3G",16,13,3,0,1
"HLA-DRA",23,13,10,0,1
"PLCE1",10,6,4,0,1
"TRAF1",12,6,6,0,1
"ENG",13,10,3,0,1
"CLDN7",9,6,3,0,1
"DSP",9,6,3,0,1
"FGFR1",28,23,5,0,1
"GFRA1",11,4,7,0,1
"OCLN",15,6,9,0,1
"RET",10,5,5,0,1
"MYO3A",6,2,4,0,1
"SMAD3",34,7,27,0,1
"HIST3H2A",25,10,15,0,1
"CEP164",8,1,7,0,1
"GBA",19,9,10,0,1
"SPHK1",15,6,9,0,1
"MARVELD2",7,4,3,0,1
"SCG2",4,3,1,0,1
"UTRN",11,7,4,0,1
"COL9A3",5,1,4,0,1
"ENO3",10,4,6,0,1
"DZIP1L",3,2,1,0,1
"TLR9",9,5,4,0,1
"GLDN",3,2,1,0,1
"COG5",7,2,5,0,1
"COL6A1",9,6,3,0,1
"COL9A1",3,1,2,0,1
"COQ7",3,2,1,0,1
"NDUFS6",28,6,22,0,1
"CPSF3",19,4,15,0,1
"DCLRE1A",10,5,5,0,1
"SRSF11",13,8,5,0,1
"CREB3L4",4,1,3,0,1
"CRHR2",4,2,2,0,1
"CRMP1",6,1,5,0,1
"CXCL5",8,2,6,0,1
"LEP",13,6,7,0,1
"EIF4B",14,12,2,0,1
"RNF20",9,6,3,0,1
"LGMN",11,8,3,0,1
"ISG15",17,14,3,0,1
"OAS2",15,9,6,0,1
"DUOX1",6,2,4,0,1
"NOX1",10,7,3,0,1
"TXN",17,11,6,0,1
"CYP2D6",5,4,1,0,1
"DHCR24",14,13,1,0,1
"SSR3",26,9,17,0,1
"DZIP1",3,1,2,0,1
"FJX1",6,2,4,0,1
"DCK",20,3,17,0,1
"RAD23B",20,12,8,0,1
"SIRT7",8,6,2,0,1
"HNRNPF",10,6,4,0,1
"GDI2",17,12,5,0,1
"EBP",5,4,1,0,1
"S100A14",3,1,2,0,1
"LFNG",3,1,2,0,1
"TEX15",6,1,5,0,1
"GNS",8,1,7,0,1
"SLC35F2",2,1,1,0,1
"SYNE3",5,2,3,0,1
"PAX5",6,2,4,0,1
"EFNA4",4,3,1,0,1
"MAP2K1",23,5,18,0,1
"XAF1",14,9,5,0,1
"SOX10",14,6,8,0,1
"EIF2S3",37,1,36,0,1
"EMB",4,1,3,0,1
"SPINT2",5,3,2,0,1
"PLB1",12,6,6,0,1
"RNF5",8,5,3,0,1
"IVL",8,5,3,0,1
"MPP6",4,2,2,0,1
"F10",5,3,2,0,1
"NAAA",4,2,2,0,1
"SOWAHB",3,2,1,0,1
"NEIL1",3,2,1,0,1
"PLXNA2",9,5,4,0,1
"PDGFRA",21,2,19,0,1
"PHYH",11,1,10,0,1
"TRPC3",10,6,4,0,1
"FLG",5,4,1,0,1
"PNISR",12,6,6,0,1
"FOXA1",11,1,10,0,1
"GATA3",10,6,4,0,1
"NKX2-2",4,2,2,0,1
"FOXP3",8,3,5,0,1
"FUT1",3,1,2,0,1
"GCNT2",3,2,1,0,1
"FZD5",11,6,5,0,1
"GABBR1",4,3,1,0,1
"PSAP",7,6,1,0,1
"HK2",10,5,5,0,1
"GFPT1",8,4,4,0,1
"PDLIM7",8,3,5,0,1
"GLI3",4,2,2,0,1
"PLCB2",23,5,18,0,1
"TAS1R3",10,6,4,0,1
"KISS1",2,1,1,0,1
"SEC16A",11,4,7,0,1
"VPS35",12,6,6,0,1
"NTRK3",9,3,6,0,1
"OVOL2",2,1,1,0,1
"GTF3C1",4,2,2,0,1
"QPRT",4,3,1,0,1
"HOXD13",3,2,1,0,1
"KAT2A",21,2,19,0,1
"MEIS1",8,1,7,0,1
"HS2ST1",2,1,1,0,1
"IFIH1",20,5,15,0,1
"INPP5B",13,7,6,0,1
"INPP5E",8,2,6,0,1
"TBX5",8,4,4,0,1
"KBTBD12",2,1,1,0,1
"KCNH5",7,5,2,0,1
"SCN4B",17,5,12,0,1
"KLHL3",6,2,4,0,1
"KLHL40",7,3,4,0,1
"TGM4",2,1,1,0,1
"LACTB2",4,1,3,0,1
"NID1",17,7,10,0,1
"NPM1",22,5,17,0,1
"NLGN2",12,4,8,0,1
"TCERG1",5,3,2,0,1
"MPEG1",3,1,2,0,1
"SLC30A5",9,7,2,0,1
"MFSD9",3,1,2,0,1
"MGAT2",3,1,2,0,1
"MINPP1",6,3,3,0,1
"MLKL",6,2,4,0,1
"MRPL15",48,4,44,0,1
"MRPL3",45,7,38,0,1
"MSS51",2,1,1,0,1
"MUC17",13,2,11,0,1
"NDNL2",7,4,3,0,1
"PDXDC1",3,2,1,0,1
"RBFOX1",6,3,3,0,1
"SYNE1",7,3,4,0,1
"SLC26A2",2,1,1,0,1
"PRPF3",10,6,4,0,1
"TUSC5",2,1,1,0,1
"SYN3",10,7,3,0,1
"RDH10",11,1,10,0,1
"SCNN1G",7,3,4,0,1
"SCNN1D",3,2,1,0,1
"WNT2B",9,7,2,0,1
"SLC5A12",2,1,1,0,1
"SLC1A5",3,1,2,0,1
"SLC26A3",5,3,2,0,1
"SLC47A1",3,1,2,0,1
"STX2",7,5,2,0,1
"TPD52",4,2,2,0,1
"TMED5",9,7,2,0,1
"TRMT12",4,2,2,0,1
"TUBB",12,1,11,0,1
