"Variable","is_control","contrast_level","ref_level","n_contrast","n_ref","beta","HR","lower_95","upper_95","p.value","global.pval"
"TMPRSS6",FALSE,"TMPRSS6","TMPRSS6",188,188,-0.191,0.826,0.704,0.968,0.0182,0.0191
"ALB",FALSE,"ALB","ALB",188,188,0.0307,1.03,0.944,1.13,0.497,0.507
"XIAP",FALSE,"XIAP","XIAP",188,188,0.0348,1.04,0.66,1.62,0.88,0.88
"APP",FALSE,"APP","APP",188,188,-0.0613,0.941,0.671,1.32,0.721,0.723
"AP1S1",FALSE,"AP1S1","AP1S1",188,188,-0.486,0.615,0.384,0.984,0.0428,0.0469
"CASP3",FALSE,"CASP3","CASP3",188,188,-0.201,0.818,0.531,1.26,0.363,0.356
"GSK3B",FALSE,"GSK3B","GSK3B",188,188,-0.302,0.739,0.47,1.16,0.192,0.189
"CCND1",FALSE,"CCND1","CCND1",188,188,-0.0482,0.953,0.692,1.31,0.768,0.768
