"Name","K","Kin","Kout","TypeI","TypeII"
"HIST1H4J",21,9,12,0,1
"RAD51",92,73,19,0,1
"RBBP4",54,44,10,0,1
"DPY30",10,6,4,0,1
"NAT8L",6,5,1,0,1
"KIF20B",32,19,13,0,1
"INTS5",6,3,3,0,1
"RGS16",10,6,4,0,1
"NOG",17,9,8,0,1
"SMARCE1",22,5,17,0,1
"ATG7",26,14,12,0,1
"NBR1",12,10,2,0,1
"RAB7B",11,10,1,0,1
"PAX6",13,9,4,0,1
"ATP1A2",8,5,3,0,1
"PLN",13,6,7,0,1
"ATP6V1B2",23,5,18,0,1
"P4HB",43,21,22,0,1
"RPTOR",30,12,18,0,1
"RRAGC",17,8,9,0,1
"NCAPD2",45,28,17,0,1
"PPP1CC",50,25,25,0,1
"NCL",43,20,23,0,1
"NDC1",31,23,8,0,1
"PPP1CA",54,24,30,0,1
"SCARF1",10,1,9,0,1
"AXIN1",29,4,25,0,1
"LRP5",28,11,17,0,1
"MAP3K1",39,30,9,0,1
"PPP2R1A",62,31,31,0,1
"WNT8B",21,12,9,0,1
"WNT9B",18,7,11,0,1
"JAK1",43,26,17,0,1
"PTPN11",97,46,51,0,1
"NAGA",7,6,1,0,1
"B4GALT1",21,15,6,0,1
"GCNT2",5,2,3,0,1
"MUC21",11,9,2,0,1
"B4GALNT1",10,7,3,0,1
"FUT8",8,5,3,0,1
"BCAN",14,5,9,0,1
"SDC4",34,23,11,0,1
"NRAS",99,65,34,0,1
"NFATC2",11,4,7,0,1
"BBS10",34,25,9,0,1
"FN1",89,54,35,0,1
"PTPRZ1",11,7,4,0,1
"BCKDHB",10,6,4,0,1
"MCCC2",7,5,2,0,1
"KNG1",32,8,24,0,1
"COG5",17,7,10,0,1
"DCTN1",33,16,17,0,1
"MS4A6A",12,11,1,0,1
"FAS",26,16,10,0,1
"TLR3",16,8,8,0,1
"HFE",10,7,3,0,1
"NUP93",36,17,19,0,1
"MAPK11",31,15,16,0,1
"PDGFRB",46,11,35,0,1
"TRPV6",9,4,5,0,1
"TAF7",19,8,11,0,1
"RAD50",32,21,11,0,1
"RAD51C",35,17,18,0,1
"RMI1",30,10,20,0,1
"BSG",14,7,7,0,1
"BSND",7,2,5,0,1
"BST2",11,2,9,0,1
"GP2",6,5,1,0,1
"HLA-B",38,32,6,0,1
"COPS6",25,7,18,0,1
"TSR1",42,12,30,0,1
"DHCR7",11,7,4,0,1
"C1GALT1C1",15,2,13,0,1
"C1QB",22,10,12,0,1
"DLGAP3",7,4,3,0,1
"CA4",3,1,2,0,1
"CACNA2D2",10,9,1,0,1
"CATSPER2",10,7,3,0,1
"CASK",18,13,5,0,1
"EPB41L2",6,3,3,0,1
"CALCA",15,6,9,0,1
"RET",25,14,11,0,1
"CD47",16,9,7,0,1
"SYNCRIP",23,15,8,0,1
"F11R",16,8,8,0,1
"SEC62",12,7,5,0,1
"TOR1A",12,9,3,0,1
"G3BP1",18,14,4,0,1
"DYNC1H1",39,21,18,0,1
"DYNLRB1",16,9,7,0,1
"S100B",12,5,7,0,1
"CNOT7",12,7,5,0,1
"OCLN",22,12,10,0,1
"SPTA1",6,3,3,0,1
"CBLL1",3,2,1,0,1
"NRXN1",12,8,4,0,1
"H2AFV",49,21,28,0,1
"CCDC114",16,3,13,0,1
"CFAP45",3,2,1,0,1
"DNAH8",8,3,5,0,1
"DYX1C1",11,6,5,0,1
"RBM44",4,2,2,0,1
"RPL29",37,27,10,0,1
"HYDIN",5,2,3,0,1
"CCL11",26,11,15,0,1
"CXCR3",29,20,9,0,1
"CCR1",26,12,14,0,1
"IL1B",60,13,47,0,1
"CX3CR1",21,9,12,0,1
"CDK14",10,7,3,0,1
"NUP160",33,25,8,0,1
"NUP43",30,19,11,0,1
"PRKAR2A",32,5,27,0,1
"RCC1",17,11,6,0,1
"CCND1",48,6,42,0,1
"ERBB2",69,18,51,0,1
"PSMD2",49,16,33,0,1
"CD86",50,20,30,0,1
"TUBA1B",26,14,12,0,1
"RUVBL1",51,22,29,0,1
"STRN",16,4,12,0,1
"CHM",20,11,9,0,1
"CHML",21,13,8,0,1
"CD3D",32,9,23,0,1
"CD5",20,6,14,0,1
"PTPN6",49,40,9,0,1
"SPN",15,5,10,0,1
"HLA-DRA",44,29,15,0,1
"NPHS2",9,6,3,0,1
"CD300C",17,8,9,0,1
"IL2RG",27,16,11,0,1
"RGS1",16,10,6,0,1
"CSF1R",42,10,32,0,1
"LGALS9",10,5,5,0,1
"SIRPA",14,10,4,0,1
"CD6",5,2,3,0,1
"TYROBP",53,7,46,0,1
"SH2D1B",6,2,4,0,1
"CNPPD1",4,3,1,0,1
"FTO",7,6,1,0,1
"THADA",6,4,2,0,1
"CDKL5",4,3,1,0,1
"LEF1",17,1,16,0,1
"FZD6",21,14,7,0,1
"MAPRE2",8,4,4,0,1
"CES2",5,3,2,0,1
"MAD1L1",6,4,2,0,1
"CFHR1",2,1,1,0,1
"CFHR3",4,2,2,0,1
"TMOD3",6,1,5,0,1
"PLA2G16",12,7,5,0,1
"CHID1",3,2,1,0,1
"CHL1",14,1,13,0,1
"CHRDL2",2,1,1,0,1
"CHRNB2",5,3,2,0,1
"LAMA3",29,16,13,0,1
"GRM5",17,5,12,0,1
"CSPG4",16,8,8,0,1
"DIS3",12,8,4,0,1
"MYOZ1",9,4,5,0,1
"CNTFR",3,2,1,0,1
"CLDN4",7,6,1,0,1
