"Name","K","Kin","Kout","TypeI","TypeII"
"DLG2",45,24,21,0,1
"DLG3",51,27,24,0,1
"GRIN1",65,36,29,0,1
"NRXN1",36,29,7,0,1
"PPFIA3",27,16,11,0,1
"SYN1",44,13,31,0,1
"SYN3",18,12,6,0,1
"ITGB2",89,70,19,0,1
"BUB1",166,64,102,0,1
"DVL1",48,36,12,0,1
"MAPRE1",24,17,7,0,1
"ERCC4",54,21,33,0,1
"EXO1",138,83,55,0,1
"HMGB2",10,3,7,0,1
"NME1",21,11,10,0,1
"NPM1",41,15,26,0,1
"PCNA",128,98,30,0,1
"P4HB",48,26,22,0,1
"SNCA",47,20,27,0,1
"APOBEC3C",2,1,1,0,1
"TRIM5",15,10,5,0,1
"CISH",16,15,1,0,1
"BGN",35,16,19,0,1
"MAPT",38,22,16,0,1
"PLAUR",29,14,15,0,1
"PLIN1",11,3,8,0,1
"FOXO1",29,11,18,0,1
"HNRNPK",47,34,13,0,1
"PPP1CB",50,37,13,0,1
"PPP1CC",68,35,33,0,1
"KDELR1",24,15,9,0,1
"SURF4",23,18,5,0,1
"ARF6",61,21,40,0,1
"FN1",128,75,53,0,1
"SLC2A4",20,12,8,0,1
"ASPM",133,86,47,0,1
"CDCA8",137,99,38,0,1
"CENPF",118,72,46,0,1
"TTK",136,91,45,0,1
"ARHGAP21",5,3,2,0,1
"ITGA1",57,14,43,0,1
"LAMA3",35,19,16,0,1
"MRAS",14,3,11,0,1
"PAK1",63,15,48,0,1
"GABRA1",24,20,4,0,1
"CD3G",40,36,4,0,1
"SUMF2",7,4,3,0,1
"AURKB",159,74,85,0,1
"CCNA2",182,54,128,0,1
"CDT1",84,35,49,0,1
"CENPA",126,58,68,0,1
"CHAF1A",27,13,14,0,1
"MCM7",102,49,53,0,1
"UBE2C",128,74,54,0,1
"PICK1",28,21,7,0,1
"ASPDH",6,3,3,0,1
"ASRGL1",10,7,3,0,1
"DMBT1",6,3,3,0,1
"NAT8L",9,7,2,0,1
"ASPHD1",7,2,5,0,1
"CKS2",65,48,17,0,1
"KIF20B",44,29,15,0,1
"STIL",33,22,11,0,1
"MAD2L1",141,47,94,0,1
"BLM",78,38,40,0,1
"JUN",77,30,47,0,1
"SNRPN",40,29,11,0,1
"MT-ATP6",19,7,12,0,1
"MT-ATP8",19,16,3,0,1
"ATXN7L3",7,6,1,0,1
"CDC25C",87,39,48,0,1
"NCAPD2",58,35,23,0,1
"NDEL1",16,6,10,0,1
"PLK1",144,46,98,0,1
"PRIM1",75,46,29,0,1
"TYMS",107,53,54,0,1
"UBE2S",38,7,31,0,1
"CASC5",61,32,29,0,1
"ERCC6L",32,17,15,0,1
"PPP1CA",65,29,36,0,1
"AZIN2",5,1,4,0,1
"B4GALT1",17,15,2,0,1
"MUC6",17,11,6,0,1
"B4GALT6",9,2,7,0,1
"DIAPH3",21,16,5,0,1
"EPS8",10,2,8,0,1
"CDK2",103,32,71,0,1
"HIST2H2AC",59,23,36,0,1
"TIPIN",53,14,39,0,1
"NTRK3",19,9,10,0,1
"BCAN",23,10,13,0,1
"GPC4",22,15,7,0,1
"PTPRZ1",10,7,3,0,1
"SDC3",28,12,16,0,1
"BCL10",18,12,6,0,1
"CARD11",20,14,6,0,1
"SYK",109,67,42,0,1
"TBR1",9,5,4,0,1
"BCR",21,8,13,0,1
"BEGAIN",4,3,1,0,1
"SEC22A",12,7,5,0,1
"SNAP23",35,6,29,0,1
"COL5A1",36,28,8,0,1
"MADD",17,8,9,0,1
"CD79B",25,13,12,0,1
"GRAP2",34,15,19,0,1
"LCK",96,42,54,0,1
"BNIP2",4,1,3,0,1
"NSUN6",19,13,6,0,1
"RCL1",48,33,15,0,1
"HOMER1",24,8,16,0,1
"UNC13A",22,21,1,0,1
"HLA-C",60,42,18,0,1
"HLA-E",58,39,19,0,1
"HLA-F",47,10,37,0,1
"PABPC1",52,11,41,0,1
"PPL",10,6,4,0,1
"CRY2",14,12,2,0,1
"ESCO2",61,27,34,0,1
"EXOSC8",10,9,1,0,1
"GNL3L",49,19,30,0,1
"PNO1",79,11,68,0,1
"RPP25",40,12,28,0,1
"SF3A3",39,25,14,0,1
"YRDC",7,6,1,0,1
"C1GALT1C1",13,5,8,0,1
"MUCL1",9,3,6,0,1
"C1QB",29,14,15,0,1
"CTSS",31,15,16,0,1
"CHCHD2",8,5,3,0,1
"PTPN22",25,9,16,0,1
"TTBK1",3,1,2,0,1
"DLGAP3",20,8,12,0,1
"ERC2",10,3,7,0,1
"CA4",2,1,1,0,1
"HPGDS",23,5,18,0,1
"PPP1R26",3,2,1,0,1
"CACNA2D1",22,8,14,0,1
"CALM1",65,28,37,0,1
"CALM3",63,18,45,0,1
"KCND3",18,7,11,0,1
"HTR3A",15,8,7,0,1
"SYNGAP1",25,21,4,0,1
"GRIA2",63,16,47,0,1
"CADPS",5,3,2,0,1
"NPY",30,27,3,0,1
"SST",28,9,19,0,1
"CALD1",17,10,7,0,1
"PDIA6",20,15,5,0,1
"SYNCRIP",40,22,18,0,1
"PTK2B",57,42,15,0,1
"CAMK4",12,3,9,0,1
"CAMP",8,3,5,0,1
"PPIB",25,10,15,0,1
"RHO",21,11,10,0,1
"CRIP1",3,1,2,0,1
"MC4R",9,5,4,0,1
"NLGN4X",15,10,5,0,1
"EIF4A1",74,13,61,0,1
"LDB3",19,11,8,0,1
"GRB7",10,7,3,0,1
"IRAK1",47,29,18,0,1
"TGFBR2",20,13,7,0,1
"CBFA2T3",5,2,3,0,1
"LRRTM1",8,3,5,0,1
"DSEL",6,3,3,0,1
"CCDC108",4,1,3,0,1
"CFAP69",7,3,4,0,1
"CCDC114",18,4,14,0,1
"CFAP45",3,2,1,0,1
"DNAAF1",13,7,6,0,1
"DYX1C1",13,5,8,0,1
"DGKQ",9,3,6,0,1
"GBA",22,8,14,0,1
"HIP1R",13,1,12,0,1
"SF3B3",43,17,26,0,1
"CXCR3",43,28,15,0,1
"CCL20",30,19,11,0,1
"ICAM1",57,15,42,0,1
"PF4",23,10,13,0,1
"COL1A2",54,23,31,0,1
"CDK4",47,10,37,0,1
"CDK6",29,7,22,0,1
"HIST1H2AD",26,5,21,0,1
"NUP160",40,27,13,0,1
"SMC1A",35,17,18,0,1
"MAPK3",156,30,126,0,1
"CCNJL",5,2,3,0,1
"CD86",73,32,41,0,1
"CD28",66,22,44,0,1
"EEF1G",91,26,65,0,1
"TRAF3IP3",5,3,2,0,1
"TOLLIP",14,8,6,0,1
"CD1C",25,11,14,0,1
"CD209",17,7,10,0,1
"CD3E",47,21,26,0,1
"CD1E",11,6,5,0,1
"CD79A",33,3,30,0,1
"NOX5",5,3,2,0,1
"HLA-DRB1",52,23,29,0,1
"PDCD1",26,10,16,0,1
"TREML1",7,5,2,0,1
"RGS1",19,8,11,0,1
"CD80",73,9,64,0,1
"CSF1R",54,12,42,0,1
"HLA-DQA1",34,9,25,0,1
"ITGA2",54,17,37,0,1
"LGMN",17,12,5,0,1
"ITGA5",55,14,41,0,1
"SH2D1B",7,4,3,0,1
"TXLNB",2,1,1,0,1
"COL3A1",44,21,23,0,1
"ERBB2",56,7,49,0,1
