"cause","effect"
"ACR","DDX4"
"ACR","IZUMO1"
"ACSBG1","ABCD3"
"ACSBG1","ACSL6"
"ACSBG1","ELOVL1"
"ACSBG1","FADS2"
"ACSBG1","FASN"
"ACSBG1","LPL"
"ACSBG1","MGLL"
"ACSL6","CPT1B"
"ACSM1","RNF32"
"ACSS1","ACACB"
"ACSS1","ALDH1B1"
"ACSS1","ALDH3B1"
"ACSS1","ALDH6A1"
"ACSS1","PC"
"ACSS1","PCCB"
"ACSS1","PCK1"
"ACSS1","SUCLG2"
"ACTA1","ACTA2"
"ACTA1","ACTN2"
"ACTA1","ACTN3"
"ACTA1","CAP1"
"ACTA1","FLNA"
"ACTA1","ITGB1"
"ACTA1","LAMB2"
"ACTA1","MYH11"
"ACTA1","MYH6"
"ACTA1","PAK7"
"ACTA1","RHOA"
"ACTA1","SPTAN1"
"ACTA1","TAGLN"
"ACTA1","TNNC2"
"ACTA1","TTN"
"ACTA1","VEGFA"
"ACTA1","WAS"
"ACTA1","WASF2"
"ACTA1","WIPF1"
"ACTA2","MAML2"
"ACTA2","MYH14"
"ACTA2","MYL12B"
"ACTA2","MYL6"
"ACTA2","PECAM1"
"ACTA2","TAGLN"
"ACTB","ACTA1"
"ACTB","ACTG1"
"ACTB","ACTL6A"
"ACTB","ACTN2"
"ACTB","AIF1"
"ACTB","ANXA1"
"ACTB","ARPC1B"
"ACTB","B2M"
"ACTB","BDNF"
"ACTB","CAP1"
"ACTB","CASP1"
"ACTB","CASP8"
"ACTB","CD44"
"ACTB","CDC42"
"ACTB","CDKN1A"
"ACTB","CETN2"
"ACTB","CHEK1"
"ACTB","CLIC4"
"ACTB","CORO1C"
"ACTB","CTGF"
"ACTB","CTNNA2"
"ACTB","CYBB"
"ACTB","CYFIP1"
"ACTB","CYFIP2"
"ACTB","DLG4"
"ACTB","ENAH"
"ACTB","EVL"
"ACTB","FLNA"
"ACTB","GFAP"
"ACTB","H3F3A"
"ACTB","HIST1H2AC"
"ACTB","IL10"
"ACTB","IL6"
"ACTB","ITGA4"
"ACTB","ITGA6"
"ACTB","ITGAM"
"ACTB","ITGB1"
"ACTB","ITGB3"
"ACTB","ITSN1"
"ACTB","LCP1"
"ACTB","LIMS1"
"ACTB","LMNA"
"ACTB","MAP1LC3A"
"ACTB","MAP2"
"ACTB","MCL1"
"ACTB","MMP9"
"ACTB","MSN"
"ACTB","MYH11"
"ACTB","MYH14"
"ACTB","MYL12B"
"ACTB","MYL6"
"ACTB","MYO5A"
"ACTB","NCK1"
"ACTB","PARVG"
"ACTB","PECAM1"
"ACTB","PGK1"
"ACTB","PIP5K1C"
"ACTB","POLE3"
"ACTB","POLR1B"
"ACTB","PPIA"
"ACTB","PTPRC"
"ACTB","RDX"
"ACTB","RHOA"
"ACTB","RPL13A"
"ACTB","RPLP0"
"ACTB","SPTBN2"
"ACTB","SYNPO"
"ACTB","TLN2"
"ACTB","TMSB4X"
"ACTB","TNF"
"ACTB","VEGFA"
"ACTB","VPS13A"
"ACTB","WAS"
"ACTB","WASF1"
"ACTB","WASF2"
"ACTB","WDR1"
"ACTB","WIPF1"
"ACTC1","ACTA1"
"ACTC1","ACTA2"
"ACTC1","ACTB"
"ACTC1","ACTN2"
"ACTC1","FMN1"
"ACTC1","MYBPC3"
"ACTC1","MYH11"
"ACTC1","MYL3"
"ACTC1","MYLPF"
"ACTC1","PHACTR1"
"ACTC1","TNNI3"
"ACTC1","TPM4"
"ACTC1","TTN"
"ACTC1","WAS"
"ACTG1","CYFIP1"
"ACTG1","MYH14"
"ACTG1","MYL12B"
"ACTG1","PIP5K1C"
"ACTG1","WASF2"
"ACTL6A","ACTG1"
"ACTL6A","HIST2H4A"
"ACTL6A","HIST2H4B"
"ACTL6A","SS18"
"ACTL6B","ACTL6A"
"ACTL6B","BANF1"
"ACTL6B","BCL7A"
"ACTL6B","H2AFZ"
"ACTL6B","RUVBL1"
"ACTN2","GRIA3"
"ACTN2","GRIN2B"
"ACTN2","MYH3"
"ACTN2","NEB"
"ACTN2","PPP1R9B"
"ACTN2","TTN"
"ACTN3","ACTN2"
"ACTN3","MYH3"
"ACTN3","NEB"
"ACTN3","TNNT1"
"ACTN3","TTN"
"ACTR1B","CAPZA2"
"ACTR1B","DCTN1"
"ACTR1B","DCTN4"
"ACTR1B","DNAH1"
"ACTR1B","DNAH10"
"ACTR1B","DNAH11"
"ACTR1B","DNAH6"
"ACTR1B","DNAH7"
"ACTR1B","DNAI1"
"ACTR1B","DNALI1"
"ACTR1B","DYNC1H1"
"ACTR3","ACTB"
"ACTR3","ACTG1"
"ACTR3","ARPC1B"
"ACTR3","ARPC5"
"ACTR3","CAPZA2"
"ACTR3","CDC42"
"ACTR3","CYFIP1"
"ACTR3","CYFIP2"
"ACTR3","FCGR1A"
"ACTR3","FCGR2A"
"ACTR3","FCGR3A"
"ACTR3","HCLS1"
"ACTR3","IGLL5"
"ACTR3","ITSN1"
"ACTR3","MYO5A"
"ACTR3","NCK1"
"ACTR3","NCKAP1L"
"ACTR3","NCKIPSD"
"ACTR3","PSMA7"
"ACTR3","RAC1"
"ACTR3","RHOC"
"ACTR3","SUMO2"
"ACTR3","WAS"
"ACTR3","WASF1"
